method,n_drop,landing_mean_m,landing_p90_m,roll_abs_mean_deg,pitch_abs_mean_deg,no_drop_rate
PPO,1922,13.28691867951393,21.80526351928711,10.97271107656206,6.983321549224939,0.039
Proposed,1758,5.4895057429885865,14.483881664276122,25.077877358699183,12.251216346700526,0.121
PPO-GRU,1774,7.489321621471917,16.442185974121095,24.613767827147473,13.017187264817277,0.113
MPC,442,7.052700012871718,22.48910961151124,2.8960822012612804,2.1267450224443847,0.779
