method,seed,done_total,drop_done,no_drop_done,no_drop_rate
ppo,10,2000,1981,19,0.0095
ppo_gru,10,2000,1992,8,0.004
ppo_rnn,10,2000,1990,10,0.005
mpc,10,2000,1060,940,0.47
