method,n_drop,landing_mean_m,landing_p90_m,roll_abs_mean_deg,pitch_abs_mean_deg,no_drop_rate
PPO,1981,2.322744806543,4.887887001037598,14.077355203413402,8.7902547001985,0.0095
PPO-GRU,1992,3.093969820774194,13.414294433593751,7.1957676253932235,5.840886226495544,0.004
PPO-RNN,1990,1.9663170812717035,2.9129991769790653,12.892195778107228,6.688317896673,0.005
MPC,1060,5.900872022419605,15.60441722869873,2.7100960161588046,1.4243395039802187,0.47
