method,n_drop,landing_mean_m,landing_p90_m,roll_abs_mean_deg,pitch_abs_mean_deg,no_drop_rate
PPO,2000,10.46526239766553,21.405377769470217,4.242869737729531,2.5380743284429403,0.0
Proposed,1991,1.4930720815541703,1.5622727870941162,6.6027738672229495,4.640469410617176,0.0045
PPO-GRU,1967,1.5220016760474149,2.6600438594818123,8.289412417277767,3.890670850887817,0.0165
MPC,1742,2.354045564422104,2.744030070304871,1.6001542598966458,1.177343193362037,0.129
