method,metric,n,mean,std,min,max
mpc,roll_deg,1742,0.06594289649131016,1.9963580409921757,-15.57688843999606,15.415641334070399
mpc,pitch_deg,1742,0.783788148209062,1.3518206202614864,-3.514992931806982,12.309066393873499
mpc,yaw_deg,1742,7.13356917196869,36.08691326146406,-79.05628409550104,80.43472555303634
mpc,landing_error_xy_m,1742,2.354045564422104,0.3489540308032097,1.4307693243026733,2.833130359649658
mpc,release_to_target_xy_m,1742,2.550999915969358,0.29433048703493525,2.0640180110931396,3.720031261444092
mpc,delta_theta_rad,1742,0.006906478362100201,0.007161022569573255,0.0010140349622815847,0.09922430664300919
mpc,delta_theta_deg,1742,0.39571206144676707,0.41029637023447546,0.05809992361744243,5.685133995756324
mpc,delta_omega_rad_s,1742,0.11395731273649344,0.02319551024402748,0.03314558044075966,0.42927035689353943
mpc,delta_omega_deg_s,1742,6.529273064453496,1.3290048406352408,1.8991018687668995,24.595379720074394
mpc,impulse_metric,1742,0.13352362336387727,0.035026838056277904,0.11696670949459076,0.6049977540969849
ppo,roll_deg,2000,0.5479061297458879,7.6306491148159115,-82.80512904411093,104.11646672633127
ppo,pitch_deg,2000,1.9093835420622691,5.468297377044434,-26.706271881181635,82.26961489242524
ppo,yaw_deg,2000,-3.383959591146601,25.83427458198961,-131.814249848567,77.43881333777199
ppo,landing_error_xy_m,2000,10.46526239766553,8.631661525560562,0.03439586982131004,24.54895782470703
ppo,release_to_target_xy_m,2000,10.769280926359817,8.682084852681376,0.03679003193974495,23.987794876098633
ppo,delta_theta_rad,2000,0.028168485829344718,0.05216384410932934,0.0002797190682031214,0.9614438414573669
ppo,delta_theta_deg,2000,1.6139353532955187,2.988768110642932,0.016026722057370883,55.086674354352176
ppo,delta_omega_rad_s,2000,0.18614418537402525,0.1258900888610375,0.006430880632251501,1.3079098463058472
ppo,delta_omega_deg_s,2000,10.665276202832475,7.212970774264345,0.36846231878043345,74.9377141769292
ppo,impulse_metric,2000,0.2840909823663533,0.15903569790979524,0.09060981869697571,1.6670955419540405
ppo_gru,roll_deg,1991,0.056636257928815686,9.166073259037846,-59.37326351141174,163.53561544858715
ppo_gru,pitch_deg,1991,4.2569496849470445,4.892786351840221,-8.77402002666336,71.363414712559
ppo_gru,yaw_deg,1991,-6.234950664121479,31.78299753962331,-95.27585235526028,93.6059530654622
ppo_gru,landing_error_xy_m,1991,1.4930720815541703,3.3718859784664303,0.013165158219635487,22.91284942626953
ppo_gru,release_to_target_xy_m,1991,1.9050023587180152,3.541873377143643,0.008557600900530815,23.854284286499023
ppo_gru,delta_theta_rad,1991,0.04085423020622705,0.028516540766909838,0.000643326377030462,0.44391924142837524
ppo_gru,delta_theta_deg,1991,2.3407749660726926,1.6338774322566894,0.03685988625328742,25.434698978494946
ppo_gru,delta_omega_rad_s,1991,0.18224791853325203,0.12440128889142284,0.011142645962536335,1.2561588287353516
ppo_gru,delta_omega_deg_s,1991,10.442036556999396,7.12766881946622,0.6384265862618188,71.97259928463244
ppo_gru,impulse_metric,1991,0.29829384979292833,0.1644592186416637,0.07691459357738495,1.6231801509857178
ppo_rnn,roll_deg,1967,5.182285554738307,10.861518873387368,-77.53998209975822,144.65197288419947
ppo_rnn,pitch_deg,1967,1.6708200493005971,6.350149403204248,-24.835565029785183,87.0280984041464
ppo_rnn,yaw_deg,1967,9.697224070206907,44.464165634200484,-159.27991582204896,133.39131320716623
ppo_rnn,landing_error_xy_m,1967,1.5220016760474149,2.3342387499533905,0.039184074848890305,19.71250343322754
ppo_rnn,release_to_target_xy_m,1967,2.1330634203957737,2.365307792606365,0.10536061972379684,20.022024154663086
ppo_rnn,delta_theta_rad,1967,0.04590598521006649,0.10078111189059082,0.00031804179889149964,3.9515037536621094
ppo_rnn,delta_theta_deg,1967,2.630219206926788,5.774332365966571,0.018222452785231432,226.40448781494138
ppo_rnn,delta_omega_rad_s,1967,0.17697855565248574,0.17361961790069988,0.0031005253549665213,1.1055752038955688
ppo_rnn,delta_omega_deg_s,1967,10.140124303208593,9.9476713463841,0.1776470171128831,63.344793117531545
ppo_rnn,impulse_metric,1967,0.31763955207194056,0.23124907255121357,0.0740332156419754,1.6392096281051636
