method,n_drop,landing_mean_m,landing_p90_m,roll_abs_mean_deg,pitch_abs_mean_deg,no_drop_rate
PPO,1977,11.497335449618618,21.93330497741699,8.455159751836492,5.414263496119425,0.0115
Proposed,1930,2.763983034950541,8.646140289306642,16.3072013279779,7.9280799632993935,0.035
PPO-GRU,1933,2.947571232472631,9.41730670928955,14.722133472587366,7.437473606779963,0.0335
MPC,941,4.890851249453175,14.349136352539062,2.4956086105715816,1.5118813027858882,0.5295
