method,n_drop,landing_mean_m,landing_p90_m,roll_abs_mean_deg,pitch_abs_mean_deg,no_drop_rate
PPO,2000,1.0306998829180374,1.8062027096748352,8.039044728079823,3.6472685814245507,0.0
Proposed,2000,1.2911954228966498,1.3810599446296692,6.330838602359484,4.252675355377487,0.0
PPO-GRU,1992,1.5533853372700146,1.8307129263877873,6.461473717096882,4.056128699491043,0.004
MPC,1656,2.427190497805531,2.9040457010269165,1.5700236608005798,1.2372054365403273,0.172
