method,seed,done_total,drop_done,no_drop_done,no_drop_rate
ppo,10,2000,2000,0,0.0
ppo_gru,10,2000,2000,0,0.0
ppo_rnn,10,2000,1992,8,0.004
mpc,10,2000,1656,344,0.172
