method,seed,done_total,drop_done,no_drop_done,no_drop_rate
ppo,10,2000,1994,6,0.003
ppo_gru,10,2000,1991,9,0.0045
ppo_rnn,10,2000,1983,17,0.0085
mpc,10,2000,1063,937,0.4685
