method,metric,n,median,q1,q3,iqr
mpc,roll_deg,1063,-0.2767182840338966,-2.9227882100101965,2.4466147418335877,5.369402951843784
mpc,pitch_deg,1063,0.07379336379281776,-1.0513983396967428,1.1556133660527974,2.20701170574954
mpc,yaw_deg,1063,6.78148992123056,-26.248048150143823,35.61417044576642,61.86221859591024
mpc,landing_error_xy_m,1063,3.070030689239502,2.2545204162597656,7.948688507080078,5.6941680908203125
mpc,release_to_target_xy_m,1063,3.108274459838867,2.2814263105392456,6.488409996032715,4.206983685493469
mpc,delta_theta_rad,1063,0.005902701523154974,0.005452326033264399,0.006704771658405662,0.001252445625141263
mpc,delta_theta_deg,1063,0.3381998850022226,0.31239527023535574,0.38415511862557405,0.07175984839021832
mpc,delta_omega_rad_s,1063,0.11056090146303177,0.10823697969317436,0.11423059552907944,0.005993615835905075
mpc,delta_omega_deg_s,1063,6.334673032993489,6.201522123662087,6.544931015082223,0.3434088914201352
mpc,impulse_metric,1063,0.12904344499111176,0.1265306994318962,0.13363692164421082,0.007106222212314606
ppo,roll_deg,1994,1.559817130944982,-7.245573954576246,12.509098729001078,19.754672683577326
ppo,pitch_deg,1994,1.3791313066414648,-2.27621518242011,7.127807832906887,9.404023015326997
ppo,yaw_deg,1994,-6.07431945532412,-52.756217224638405,35.26121359021684,88.01743081485525
ppo,landing_error_xy_m,1994,1.4177725911140442,0.815307691693306,2.4391742944717407,1.6238666027784348
ppo,release_to_target_xy_m,1994,1.655463457107544,0.8813914656639099,2.9251757860183716,2.0437843203544617
ppo,delta_theta_rad,1994,0.061533503234386444,0.03782740142196417,0.1669989563524723,0.12917155493050814
ppo,delta_theta_deg,1994,3.5256100339849437,2.167350451425716,9.568335382086111,7.400984930660396
ppo,delta_omega_rad_s,1994,0.20372845977544785,0.11863734945654869,0.6040470004081726,0.4854096509516239
ppo,delta_omega_deg_s,1994,11.672780911833922,6.797419416478911,34.609343750925404,27.811924334446495
ppo,impulse_metric,1994,0.35256510972976685,0.23188992962241173,0.9372650980949402,0.7053751684725285
ppo_gru,roll_deg,1991,1.5177090147118533,-1.731302690436492,6.820893282552364,8.552195972988855
ppo_gru,pitch_deg,1991,3.6936980012511955,1.313964471770373,7.237446029463932,5.9234815576935596
ppo_gru,yaw_deg,1991,9.865074444681197,-37.92024038504865,54.296780052313125,92.21702043736178
ppo_gru,landing_error_xy_m,1991,0.7454470992088318,0.4418671429157257,1.3439977169036865,0.9021305739879608
ppo_gru,release_to_target_xy_m,1991,1.8728067874908447,1.0620285272598267,3.1623036861419678,2.100275158882141
ppo_gru,delta_theta_rad,1991,0.023526057600975037,0.013544421177357435,0.0463081169873476,0.03276369580999017
ppo_gru,delta_theta_deg,1991,1.3479438091175402,0.7760381694101945,2.6532596605730903,1.8772214911628957
ppo_gru,delta_omega_rad_s,1991,0.15061210095882416,0.10656142979860306,0.2560439258813858,0.14948249608278275
ppo_gru,delta_omega_deg_s,1991,8.629437728538884,6.105520186339561,14.670236322963873,8.564716136624313
ppo_gru,impulse_metric,1991,0.22918787598609924,0.1684204339981079,0.4114971458911896,0.24307671189308167
ppo_rnn,roll_deg,1983,5.030994399226332,-0.6407673667955762,10.926144332242679,11.566911699038254
ppo_rnn,pitch_deg,1983,1.8777419462415654,-1.8327993015028814,6.452049406993336,8.284848708496217
ppo_rnn,yaw_deg,1983,20.385286974171677,-42.55875845418771,91.95964524905736,134.51840370324507
ppo_rnn,landing_error_xy_m,1983,1.0818455219268799,0.6003551781177521,1.839698851108551,1.239343672990799
ppo_rnn,release_to_target_xy_m,1983,1.813391089439392,1.0470479130744934,2.956151247024536,1.9091033339500427
ppo_rnn,delta_theta_rad,1983,0.03043227829039097,0.014201206620782614,0.06319336593151093,0.04899215931072831
ppo_rnn,delta_theta_deg,1983,1.7436411070070028,0.8136692033640855,3.620713161101378,2.8070439577372923
ppo_rnn,delta_omega_rad_s,1983,0.15954571962356567,0.10358075797557831,0.2978399395942688,0.1942591816186905
ppo_rnn,delta_omega_deg_s,1983,9.14129637380787,5.934740270766678,17.064971509182982,11.130231238416304
ppo_rnn,impulse_metric,1983,0.25001147389411926,0.17700787633657455,0.4406306743621826,0.26362279802560806
