method,n_drop,landing_mean_m,landing_p90_m,roll_abs_mean_deg,pitch_abs_mean_deg,no_drop_rate
PPO,1994,2.5964677392055795,6.1447885036468515,14.6289465783145,9.432384920281171,0.003
PPO-GRU,1991,3.019670139645502,13.403371810913086,6.907177573486256,5.975156271526593,0.0045
PPO-RNN,1983,2.041290411926652,3.511724281311034,12.458583161388868,6.097460618444167,0.0085
MPC,1063,5.817289740492012,15.549460792541508,2.8505797970758615,1.6401193308965616,0.4685
