method,n_drop,landing_mean_m,landing_p90_m,roll_abs_mean_deg,pitch_abs_mean_deg,no_drop_rate
PPO,1990,11.141024423328851,21.601421546936038,7.6667653060498,4.703520903960442,0.005
Proposed,1956,2.561157747764133,5.754672527313232,15.373543770409698,7.938178958271632,0.022
PPO-GRU,1947,3.5390820104521654,10.801571846008303,14.956488297386834,7.863481614871309,0.0265
MPC,1065,5.940874055405738,16.357392883300783,2.693262377307677,1.4827660619309337,0.4675
