method,seed,done_total,drop_done,no_drop_done,no_drop_rate
ppo,10,2000,1990,10,0.005
ppo_gru,10,2000,1956,44,0.022
ppo_rnn,10,2000,1947,53,0.0265
mpc,10,2000,1065,935,0.4675
