method,metric,n,median,q1,q3,iqr
mpc,roll_deg,1065,0.2850920959563322,-2.8098442018948657,2.8640076020130665,5.673851803907932
mpc,pitch_deg,1065,-0.05897185329389009,-1.1097281552086518,1.0720801525035415,2.1818083077121933
mpc,yaw_deg,1065,3.993297419004635,-28.07389431907163,33.2728840511236,61.346778370195224
mpc,landing_error_xy_m,1065,2.9042036533355713,2.3377749919891357,8.824777603149414,6.487002611160278
mpc,release_to_target_xy_m,1065,2.8706796169281006,2.226186990737915,7.474542140960693,5.248355150222778
mpc,delta_theta_rad,1065,0.005895170848816633,0.005457837134599686,0.006697339937090874,0.001239502802491188
mpc,delta_theta_deg,1065,0.3377684091457482,0.3127110330823366,0.38372931235971935,0.07101827927738275
mpc,delta_omega_rad_s,1065,0.110650934278965,0.10834535211324692,0.11436322331428528,0.006017871201038361
mpc,delta_omega_deg_s,1065,6.3398315333641415,6.207731405947864,6.552530027420685,0.3447986214728216
mpc,impulse_metric,1065,0.12918075919151306,0.12643302977085114,0.13376837968826294,0.007335349917411804
ppo,roll_deg,1990,0.0,-3.378771639000248,3.533051951972496,6.911823590972744
ppo,pitch_deg,1990,0.356747610538936,-0.903647687571027,2.5131441994440964,3.4167918870151235
ppo,yaw_deg,1990,0.0,-29.94365860436262,21.8604780613002,51.804136665662824
ppo,landing_error_xy_m,1990,13.692093849182129,1.6026154458522797,18.361813068389893,16.759197622537613
ppo,release_to_target_xy_m,1990,13.890466213226318,1.8478590548038483,18.593477249145508,16.74561819434166
ppo,delta_theta_rad,1990,0.016542628407478333,0.0084886085242033,0.05303958896547556,0.04455098044127226
ppo,delta_theta_deg,1990,0.9478227898017307,0.4863614423756234,3.0389445948304017,2.5525831524547784
ppo,delta_omega_rad_s,1990,0.1863044574856758,0.12668125331401825,0.29026804864406586,0.1635867953300476
ppo,delta_omega_deg_s,1990,10.6744591184037,7.2583011583209185,16.631134114803054,9.372832956482135
ppo,impulse_metric,1990,0.290142759680748,0.22466624900698662,0.4048615097999573,0.18019526079297066
ppo_gru,roll_deg,1956,-1.117514570862466,-10.513095472375326,7.740332367484459,18.253427839859786
ppo_gru,pitch_deg,1956,3.6831316986051856,-0.1648261250507477,9.321206971640592,9.48603309669134
ppo_gru,yaw_deg,1956,-3.229518345257129,-43.307128621167664,41.80563106045084,85.11275968161851
ppo_gru,landing_error_xy_m,1956,1.0678070187568665,0.6148021519184113,1.847933828830719,1.2331316769123077
ppo_gru,release_to_target_xy_m,1956,1.6406518816947937,0.9734641760587692,2.547913134098053,1.5744489580392838
ppo_gru,delta_theta_rad,1956,0.053624726831912994,0.03020484745502472,0.10874656774103642,0.0785417202860117
ppo_gru,delta_theta_deg,1956,3.0724705250105564,1.730610280009382,6.230719368094893,4.500109088085511
ppo_gru,delta_omega_rad_s,1956,0.21251606196165085,0.13486484065651894,0.48939741402864456,0.3545325733721256
ppo_gru,delta_omega_deg_s,1956,12.176273429143288,7.727186174322889,28.04040632845788,20.313220154134992
ppo_gru,impulse_metric,1956,0.3831063508987427,0.23225975781679153,0.7748488783836365,0.5425891205668449
ppo_rnn,roll_deg,1947,5.443988617580323,-3.4464997948100944,14.373409108239812,17.819908903049907
ppo_rnn,pitch_deg,1947,0.9939154676419155,-2.9590701748813037,7.550200391558815,10.509270566440119
ppo_rnn,yaw_deg,1947,8.45787789074015,-43.38420047576209,79.23147844771188,122.61567892347398
ppo_rnn,landing_error_xy_m,1947,1.4551618099212646,0.8743310570716858,3.9948562383651733,3.1205251812934875
ppo_rnn,release_to_target_xy_m,1947,2.2988266944885254,1.3393408060073853,3.961564779281616,2.622223973274231
ppo_rnn,delta_theta_rad,1947,0.05672784149646759,0.026549698784947395,0.119554303586483,0.0930046048015356
ppo_rnn,delta_theta_deg,1947,3.250265898634689,1.5211856877210956,6.849957018131237,5.328771330410142
ppo_rnn,delta_omega_rad_s,1947,0.2216510772705078,0.10030082985758781,0.5186258852481842,0.4183250553905964
ppo_rnn,delta_omega_deg_s,1947,12.699671252128189,5.746814232499536,29.715074370957097,23.968260138457563
ppo_rnn,impulse_metric,1947,0.3985074758529663,0.22579985111951828,0.7555840611457825,0.5297842100262642
