method,seed,done_total,drop_done,no_drop_done,no_drop_rate
ppo,10,2000,1984,16,0.008
ppo_gru,10,2000,1988,12,0.006
ppo_rnn,10,2000,1987,13,0.0065
mpc,10,2000,1053,947,0.4735
