scope,method,n,mean,median,mean_minus_median,p90,p95,p99,cvar90,gt15,gt20,gt30,roll_median,pitch_median,roll_p90,pitch_p90
ALL,PPO,15741,16.24317332764707,9.559511033012358,6.683662294634713,36.658320168877104,54.03775490422232,116.66737249640194,66.06118159209694,0.29464455879550216,0.22323867606886474,0.1352518899688711,7.82093542987978,3.1381850556757187,26.36580061143484,19.39985460147892
ALL,Proposed,15569,18.83587627904133,11.778495798290379,7.05738048075095,34.287787638173576,66.77388724415498,138.51994873267492,79.93261586985278,0.3796647183505684,0.24735050420707816,0.12287237459053246,8.2276595345757,4.266873816020325,29.918690164832732,16.777165779069406
ALL,PPO-GRU,15597,18.370890180922153,9.56232103557589,8.808569145346263,36.911138938675954,74.06455748411683,145.13350167550485,86.53494530295056,0.3044175161890107,0.2083734051420145,0.12899916650637944,6.921044346352261,4.682094676043741,32.18372842569501,16.176461569869446
ALL,MPC,8293,3.1831998258674936,2.7983979214218415,0.3848019044456521,4.0559256682199365,5.137088950052356,13.40488105143863,8.679506319305526,0.006390932111419269,0.0032557578680815144,0.002532256119618956,2.3115136000507355,1.0888004555917326,3.6748739998986406,2.588696336948193
Exp1,PPO,1988,19.133695521731525,11.90126912720964,7.232426394521886,40.333174310228316,57.854855251520384,132.2678588665811,72.36491784206792,0.37927565392354123,0.2776659959758551,0.16700201207243462,9.752349002619308,4.005905948212478,27.807656277300197,26.346659689304772
Exp1,Proposed,1981,18.87422858317022,12.990627629719572,5.883600953450646,32.49523026477299,58.444490045572344,135.04440465635076,73.88090285063087,0.41797072185764766,0.26198889449772844,0.12014134275618374,8.904599583215663,4.488103643237039,29.66456341449756,16.499278166649603
Exp1,PPO-GRU,1991,20.575080129537373,10.675581368573706,9.899498760963667,44.369319903182934,87.56430761087523,144.26630377094492,93.57766847355084,0.36263184329482673,0.2531391260673029,0.16122551481667505,7.968358232925336,5.241760376634586,40.71604171800997,17.476664576500088
Exp1,MPC,1053,3.709498056239619,3.1877674224001638,0.5217306338394554,4.020530228826768,5.73546182302591,15.733233420805009,12.104365035800678,0.012345679012345678,0.007597340930674264,0.006647673314339981,2.7461048765603064,1.1106024194224131,3.7037247189527744,2.8218298178504044
Exp2-NoObs,PPO,1983,18.453664281698572,11.80986168083901,6.643802600859562,38.9921813406578,52.01110332826018,111.61638941270874,64.61997478570592,0.38779626828038327,0.2939989914271306,0.16591023701462432,9.66311941130226,3.928164735079393,28.399492168881807,23.11455680046573
Exp2-NoObs,Proposed,1972,18.920292230822643,12.59414824123807,6.326143989584573,34.90415336880254,60.70658512116575,133.9547752167898,75.1086600885167,0.40973630831643004,0.2667342799188641,0.13336713995943206,8.673206434513972,4.314534876048675,30.661962278616194,16.545095075602056
Exp2-NoObs,PPO-GRU,1988,20.4011587572023,11.128315033199655,9.272843724002644,42.616035496649815,78.9870894727958,145.8007622697493,90.83662152841792,0.3732394366197183,0.2580482897384306,0.16247484909456741,8.026018689898583,5.060207118306477,39.977991966865886,16.36097230010817
Exp2-NoObs,MPC,1109,3.5851843261552885,3.2043836274324566,0.38080069872283184,4.095354190327947,5.483956664289043,13.178308984693611,10.549982915179353,0.007213706041478809,0.005410279531109108,0.004508566275924256,2.8123030699960703,1.1649707252157149,3.686305004493574,2.6836550909410466
Exp2-RandObs,PPO,1985,18.176885950234052,11.51020146949339,6.6666844807406616,39.484801066730434,52.588972105186855,111.79400489110348,65.61758269966096,0.36926952141057934,0.2760705289672544,0.15717884130982368,9.433597734433151,3.8340447283166177,28.947032917658053,21.10869143369741
Exp2-RandObs,Proposed,1977,18.642255751693725,12.924673569241511,5.7175821824522135,33.31415789069523,55.63813781842039,137.4757747863766,73.82736164838313,0.41122913505311076,0.26707132018209406,0.11734951947395043,8.95630411523266,4.324957744722114,28.78438972106604,16.066979101625495
Exp2-RandObs,PPO-GRU,1990,17.20586911043513,9.047323888135562,8.15854522229957,32.41926489553127,56.814289430313956,143.89646133708763,79.61221120652361,0.29447236180904524,0.1934673366834171,0.11055276381909548,6.695197311256619,4.604339802532316,28.246957652261425,15.664500642517655
