scope,method,n,mean,median,p90,p95,p99,cvar90,gt20,gt30
ALL,PPO,15838,13.34306855385428,6.9217397222432435,31.543483879471133,47.73777963573066,102.32867565398381,59.1889873611763,0.18057835585301174,0.10771562065917414
ALL,Proposed,15527,18.959488911079582,12.028886089426962,34.81634816699074,66.39736601666334,138.4400037879414,79.12630399515147,0.25284987441231405,0.12565208990790236
ALL,PPO-GRU,15572,18.79638514590337,10.453065614871676,37.33074920556023,69.33245718757459,144.29474094201626,84.30953916331374,0.22855124582584124,0.1323529411764706
ALL,MPC,8431,3.218412887236346,2.8104907602664806,4.061110104559012,5.266682626093598,12.973858795255406,8.813451139372768,0.0030838571936899536,0.0024908077333649628
Exp1 fixedH fixedW noObs,PPO,1988,19.133695521731525,11.90126912720964,40.333174310228316,57.854855251520384,132.2678588665811,72.36491784206792,0.2776659959758551,0.16700201207243462
Exp1 fixedH fixedW noObs,Proposed,1981,18.87422858317022,12.990627629719572,32.49523026477299,58.444490045572344,135.04440465635076,73.88090285063087,0.26198889449772844,0.12014134275618374
Exp1 fixedH fixedW noObs,PPO-GRU,1991,20.575080129537373,10.675581368573706,44.369319903182934,87.56430761087523,144.26630377094492,93.57766847355084,0.2531391260673029,0.16122551481667505
Exp1 fixedH fixedW noObs,MPC,1053,3.709498056239619,3.1877674224001638,4.020530228826768,5.73546182302591,15.733233420805009,12.104365035800678,0.007597340930674264,0.006647673314339981
Exp2 noObstacle,PPO,1983,18.453664281698572,11.80986168083901,38.9921813406578,52.01110332826018,111.61638941270874,64.61997478570592,0.2939989914271306,0.16591023701462432
Exp2 noObstacle,Proposed,1972,18.920292230822643,12.59414824123807,34.90415336880254,60.70658512116575,133.9547752167898,75.1086600885167,0.2667342799188641,0.13336713995943206
Exp2 noObstacle,PPO-GRU,1988,20.4011587572023,11.128315033199655,42.616035496649815,78.9870894727958,145.8007622697493,90.83662152841792,0.2580482897384306,0.16247484909456741
Exp2 noObstacle,MPC,1109,3.5851843261552885,3.2043836274324566,4.095354190327947,5.483956664289043,13.178308984693611,10.549982915179353,0.005410279531109108,0.004508566275924256
