method,N,N_drop,drop_rate,no_drop_rate,crash_rate,crash_nodrop,timeout_nodrop,mean,median,p90,r1,r2,r3,overall_r2,overall_r3,roll_abs_mean,pitch_abs_mean,impact_mean,impact_p90
PPO,16000,15838,0.989875,0.010125,0.0100625,161,1,8.060853455208989,2.747920513153076,20.47018737792969,0.2338047733299659,0.43566106831670665,0.5102285642126531,0.43125,0.5050625,10.244388803586368,6.474595419840207,0.46446492333985484,1.1679529309272767
Proposed,16000,15527,0.9704375,0.0295625,0.029,462,11,2.6693716431903463,1.0335859060287476,7.669146537780759,0.48470406388871,0.7562954852836994,0.8296515746763702,0.7339375,0.805125,15.51433320649668,7.812577336146268,0.5331815490986783,1.306291389465332
PPO-GRU,16000,15572,0.97325,0.02675,0.02525,398,30,3.2751469159882594,1.286182165145874,11.107766628265383,0.38305933727202673,0.6721037760082199,0.7695222193680966,0.654125,0.7489375,15.726189245924594,7.793374432305034,0.5100312221258488,1.2835687875747683
MPC,16000,8431,0.5269375,0.4730625,0.473125,7569,0,5.10129207293308,2.704872131347656,15.003948211669922,0.025026687225714623,0.1876408492468272,0.6287510378365556,0.098875,0.3313125,2.537374724892557,1.4929243507745016,0.1456877600687521,0.1452419161796569
