method,n_drop,landing_mean_m,landing_p90_m,roll_abs_mean_deg,pitch_abs_mean_deg,no_drop_rate
PPO,1827,6.853025516804021,14.850129699707031,19.575520158234553,13.4598672093848,0.0865
Proposed,1763,5.551708229211536,14.520696830749511,25.46023961082701,11.702701632274616,0.1185
PPO-GRU,1737,5.8292218038472345,15.868133926391602,25.611859762615136,11.223520395625568,0.1315
MPC,420,7.171569430366868,24.170054626464843,2.6219943222697633,1.9185856968851938,0.79
