step,mean,std,ema
0,7.385867549180984,3.9821256852944322,7.385867549180984
1,7.382369270324707,3.979097736063385,7.385832566392422
2,7.371578997373581,3.9746833646175697,7.385690030702233
3,7.348111513853073,3.968746895616912,7.385314245533742
4,7.309992178678512,3.9615207099481364,7.38456102486519
5,7.25824989438057,3.954779923937072,7.383297913560344
6,7.196435654163361,3.9520784471068655,7.381429290966374
7,7.130362811088562,3.9579550449551792,7.378918626167596
8,7.066591252088546,3.9765106494432163,7.375795352426805
9,7.01127965092659,4.01108567493724,7.372150195411803
10,7.108880369663239,4.154183147701743,7.369517497154317
11,7.086315215826034,4.227960963553284,7.366685474341034
12,7.085778262615204,4.319476649890613,7.363876402223776
13,7.161777399778366,4.444311932890516,7.361855412199322
14,7.204945287704468,4.573140513820311,7.360286310954374
15,7.0827896797657015,4.644323049063452,7.357511344642487
16,7.00199048280716,4.519286186998154,7.3539561360241334
17,7.10932447552681,4.663416708647378,7.35150981941916
18,7.279569411277771,4.774931809338074,7.350790415337746
19,7.099414331912994,4.674992258797564,7.348276654503499
20,7.122394236326218,4.664622564212575,7.346017830321726
21,7.201741536855698,4.7329995149359805,7.344575067387066
22,6.909032856225967,4.407217374493083,7.340219645275455
23,6.881375875473022,4.437219546850979,7.335631207577431
24,6.517051062583923,4.086310956778389,7.327445406127496
25,6.59756555557251,4.164815080117734,7.320146607621946
26,6.573437080383301,4.095469225902861,7.312679512349559
27,6.614675930738449,4.167334283312102,7.305699476533449
28,6.662741566896439,4.246477228131302,7.299269897437079
29,6.4765130805969235,4.167008735314766,7.291042329268677
30,6.569228888750076,4.223104554621346,7.283824194863492
31,6.491550861597061,4.023121663264917,7.275901461530827
32,6.322263035774231,3.790365962118436,7.266365077273261
33,6.361611441373825,3.6713682465137834,7.257317540914267
34,6.516394934654236,3.8247035925904647,7.249908314851667
35,6.548953411579132,3.8370183508101867,7.242898765818941
36,6.42360605597496,3.6306424838057794,7.234705838720501
37,6.4722924554348,3.6682799578631586,7.227081704887644
38,6.437247976064682,3.684465618365983,7.219183367599415
39,6.443854718208313,3.707925284169081,7.2114300811055045
40,6.480101907253266,3.7386889173860207,7.204116799366982
41,6.5698889791965485,3.828315585087473,7.197774521165278
42,6.650912791490555,3.8646052710507983,7.19230590386853
43,6.6740279400348665,3.9243661045110523,7.187123124230194
44,6.717484350204468,3.9801283102321485,7.182426736489936
45,6.926473724842071,4.051006997180953,7.179867206373458
46,6.960132672786712,4.1147321806070645,7.17766986103759
47,6.8038194727897645,3.9007627405082532,7.173931357155112
48,6.9091309070587155,3.9381446566611498,7.171283352654148
49,6.850858478546143,3.9259918959974027,7.168079103913068
50,6.9271356236934665,3.925946439698095,7.165669669110872
51,7.167405693531037,4.061357731414837,7.165687029355073
