step,mean,std,ema
0,0.0,0.0,0.0
1,1.0,0.0,0.010000000000000009
2,2.0,0.0,0.029900000000000027
3,3.0,0.0,0.05960100000000006
4,4.0,0.0,0.0990049900000001
5,5.0,0.0,0.14801494010000016
6,6.0,0.0,0.20653479069900021
7,7.0,0.0,0.27446944279201024
8,8.0,0.0,0.35172474836409023
9,9.0,0.0,0.4382075008804494
10,10.0,0.0,0.533825425871645
11,10.590909090909092,0.4916660830178166,0.6343962625220196
12,11.523076923076923,0.7255277613877906,0.7432830691275688
13,12.238095238095237,0.9035079029052511,0.8582311908172456
14,12.922330097087379,1.1120637719049595,0.978872179879947
15,13.524137931034483,1.3291571538368665,1.1043248373914925
16,14.135064935064936,1.5716453644596777,1.234632238368227
17,14.658174097664544,1.8011355404529623,1.3688676569611902
18,15.05243445692884,2.005858383882321,1.505703324960867
19,15.486666666666666,2.2597541655872413,1.6455129583779249
20,15.903177004538579,2.5182550836040285,1.7880895988395316
21,16.384931506849316,2.8223264101042074,1.9340580179196296
22,16.778343949044586,3.0759870969418186,2.082500877230879
23,17.157894736842106,3.331945904490463,2.2332548158269914
24,17.529411764705884,3.5920719789479496,2.3862163853157803
25,17.8139281828074,3.8021215255369083,2.5404935032906963
26,18.292008196721312,4.158954597515476,2.6980086502250025
27,18.626600985221675,4.40839791653849,2.8572945735749693
28,19.041431261770246,4.721248301255846,3.019135940456922
29,19.54025044722719,5.088456254811774,3.184347085524625
30,20.056122448979593,5.453911402878528,3.353064839159175
31,20.570502431118314,5.8061867110502,3.5252392150787664
32,21.049689440993788,6.127451966797982,3.700483717337917
33,21.606957809030348,6.491826814809733,3.8795484582548414
34,22.125531914893617,6.821887015156657,4.062008292821229
35,22.659415363698166,7.155187946240952,4.2479823635299985
36,23.26541207008436,7.522514183354134,4.438156660595543
37,23.655107187894075,7.757774590862661,4.630326165868528
38,24.135892748324192,8.05180877620868,4.825381831693085
39,24.592439456585943,8.331750387264302,5.023052407942014
40,24.913244650086757,8.53302998649608,5.221954330363462
41,25.338963963963963,8.806412222007703,5.423124426699467
42,25.705947136563875,9.045679955926303,5.6259526537981115
43,26.096878363832076,9.304979797305403,5.830661910898451
44,26.390682901005825,9.504496609858231,6.036262120799525
45,26.719708788351532,9.73411270210095,6.243096587475045
46,27.15099135739705,10.038060654404381,6.452175535174265
47,27.498001998002,10.284380269441106,6.662633799802543
48,28.046183762761302,10.671399231901137,6.876469299432131
49,28.562825983878614,11.028583182629848,7.0933328662765955
50,29.020417633410673,11.341669093666184,7.3126037139479365
51,29.351919561243143,11.570209768406848,7.532996872420889
52,29.728539325842696,11.833489664579588,7.754952296955107
53,30.209947183098592,12.16988127339285,7.979502245816541
54,30.509778357235984,12.380730952082342,8.204805006930735
55,30.8560411311054,12.628357763499396,8.431317368172483
56,31.300505050505052,12.947372095887584,8.660009244995809
57,31.705053852526927,13.237396474681875,8.89045969107112
58,32.10199918400653,13.52270406298348,9.122575086000476
59,32.459339774557165,13.781082469263794,9.355942732886042
60,32.863546211820704,14.074785519658256,9.591018767675388
61,33.17261671243625,14.301193873003191,9.826834747122996
62,33.51899224806201,14.557877930424791,10.063756322132386
63,33.857854406130265,14.811177615895605,10.301697302972364
64,34.301623254058136,15.143331847427152,10.54169656248322
65,34.56586826347306,15.342380044951414,10.78193827949312
66,34.903369122547204,15.599886311172428,11.023152587923661
67,35.162688211531396,15.800199995971681,11.26454794415974
68,35.378329076979206,15.970017885668698,11.505685755487933
69,35.52488194696694,16.08837003592566,11.745877717402724
70,35.74882713821725,16.27343474325283,11.98590721161087
71,35.98888888888889,16.475012637863493,12.225937028383651
72,36.245195729537365,16.69306396058839,12.466129615395188
73,36.388514711095354,16.817221089112763,12.70535346635219
74,36.56104446012703,16.97000071432875,12.943910376289937
75,36.669247009148485,17.0680334669252,13.181163742618521
76,36.71072056239016,17.10672508815682,13.416459310816238
77,36.86589635854342,17.255166464417222,13.650953681293512
78,37.00942079553384,17.394971897843618,13.884538352435914
79,37.184503127171645,17.568282637852167,14.117538000183272
80,37.31797713889851,17.702522985460057,14.349542391570424
81,37.42363510711817,17.810825615564312,14.580283318725902
82,37.53119613926232,17.923257704798978,14.809792446931267
83,37.60942876806607,18.00670615356812,15.037788810142615
84,37.6891102713844,18.09349781760602,15.264302024755034
85,37.8187735525865,18.23719034702966,15.489846740033348
86,37.966871584699454,18.40343453022016,15.71461698848001
87,38.067143830947515,18.517570026367547,15.938142256904685
88,38.185991159469566,18.654878976684355,16.160620745930334
89,38.25500848896434,18.735904615847122,16.381564623360674
90,38.34271186440678,18.840638715873265,16.601176095771134
91,38.37838753387534,18.884027221988962,16.818948210152175
92,38.41469194312796,18.929089448319324,17.034905647481935
93,38.45162381596752,18.975841793926303,17.249072829166792
94,38.47040919851201,19.000103774923243,17.461286192860246
95,38.47040919851201,19.000103774923243,17.671377422916766
96,38.47040919851201,19.000103774923243,17.87936774067272
97,38.50996958431902,19.054496257045322,18.085673759109184
98,38.50996958431902,19.054496257045322,18.289916717361283
99,38.50996958431902,19.054496257045322,18.492117246030862
100,38.55150287065181,19.114935216536736,18.69271110227707
101,38.55150287065181,19.114935216536736,18.891299019960815
102,38.55150287065181,19.114935216536736,19.087901058467725
103,38.55150287065181,19.114935216536736,19.282537076589566
104,38.55150287065181,19.114935216536736,19.47522673453019
105,38.55150287065181,19.114935216536736,19.665989495891406
106,38.59703003712453,19.188610831542487,19.855299901303738
107,38.59703003712453,19.188610831542487,20.042717202661944
