method,n_drop,landing_mean_m,landing_p90_m,roll_abs_mean_deg,pitch_abs_mean_deg,no_drop_rate
PPO,1983,2.4210344332134595,5.795555305480957,13.918641432255795,9.047483889165404,0.0085
Proposed,1972,2.391206222408759,4.07881774902344,15.433049352696543,7.632758405106889,0.014
PPO-GRU,1988,2.8152064245280397,8.660674953460685,17.46314932250138,7.7625763696142425,0.006
MPC,1109,6.032220097384655,16.630315017700195,2.929063731157981,1.5599537039340217,0.4455
