method,seed,done_total,drop_done,no_drop_done,no_drop_rate
ppo,10,2000,1983,17,0.0085
ppo_gru,10,2000,1972,28,0.014
ppo_rnn,10,2000,1988,12,0.006
mpc,10,2000,1109,891,0.4455
