method,metric,n,median,q1,q3,iqr
mpc,roll_deg,1109,-0.0808284586379309,-3.001089498655223,2.6373955857303835,5.638485084385606
mpc,pitch_deg,1109,-0.044983625873703977,-1.1649707252157149,1.1611731400371876,2.3261438652529023
mpc,yaw_deg,1109,7.344652678676451,-22.81738073382982,37.91095132777743,60.72833206160725
mpc,landing_error_xy_m,1109,3.089862823486328,2.3962619304656982,8.473302841186523,6.077040910720825
mpc,release_to_target_xy_m,1109,2.9795002937316895,2.2591187953948975,6.877285480499268,4.61816668510437
mpc,delta_theta_rad,1109,0.005851656664162874,0.005417470820248127,0.006583002861589193,0.0011655320413410664
mpc,delta_theta_deg,1109,0.33527523001613485,0.3103982136354939,0.3771782804916044,0.06678006685611049
mpc,delta_omega_rad_s,1109,0.11081739515066147,0.10854484140872955,0.11451399326324463,0.005969151854515076
mpc,delta_omega_deg_s,1109,6.349369038766418,6.219161300637056,6.561168509173458,0.3420072085364021
mpc,impulse_metric,1109,0.12924650311470032,0.1266346126794815,0.13458919525146484,0.007954582571983337
ppo,roll_deg,1983,0.8226143232579957,-7.602260093412652,11.805155527477467,19.40741562089012
ppo,pitch_deg,1983,1.2933782816119546,-2.2738929181023053,6.7791061852102255,9.05299910331253
ppo,yaw_deg,1983,-7.005547446763658,-53.080965398915836,36.05133670359308,89.13230210250892
ppo,landing_error_xy_m,1983,1.3083003759384155,0.763431578874588,2.300474166870117,1.5370425879955292
ppo,release_to_target_xy_m,1983,1.6033203601837158,0.8733928203582764,2.8245540857315063,1.95116126537323
ppo,delta_theta_rad,1983,0.06311836838722229,0.03918522596359253,0.155879408121109,0.11669418215751648
ppo,delta_theta_deg,1983,3.616416118339794,2.245148066980306,8.931232198336836,6.68608413135653
ppo,delta_omega_rad_s,1983,0.21063920855522156,0.11881191655993462,0.5843499004840851,0.46553798392415047
ppo,delta_omega_deg_s,1983,12.068737650190139,6.807421374744748,33.480783056627736,26.673361681882987
ppo,impulse_metric,1983,0.35930290818214417,0.23103758692741394,0.8920649886131287,0.6610274016857147
ppo_gru,roll_deg,1972,-1.1001112488572737,-10.216911149206894,7.251154219128146,17.46806536833504
ppo_gru,pitch_deg,1972,3.1868296629445494,-0.3364687788931681,8.706288455758928,9.042757234652097
ppo_gru,yaw_deg,1972,-3.7006101526912483,-42.68549944442647,39.13331613258876,81.81881557701523
ppo_gru,landing_error_xy_m,1972,1.042872428894043,0.6399875432252884,1.734787404537201,1.0947998613119125
ppo_gru,release_to_target_xy_m,1972,1.7029691338539124,1.0489710867404938,2.7571691274642944,1.7081980407238007
ppo_gru,delta_theta_rad,1972,0.051986899226903915,0.02883836254477501,0.10164402052760124,0.07280565798282623
ppo_gru,delta_theta_deg,1972,2.9786299156735163,1.6523164618837605,5.823773388972654,4.171456927088894
ppo_gru,delta_omega_rad_s,1972,0.2002638578414917,0.130360946059227,0.43988967686891556,0.30952873080968857
ppo_gru,delta_omega_deg_s,1972,11.47427384332537,7.469132022526288,25.203821935962416,17.734689913436128
ppo_gru,impulse_metric,1972,0.357086718082428,0.22697430849075317,0.6905988454818726,0.4636245369911194
ppo_rnn,roll_deg,1988,5.593228250945101,-1.1655171403493159,15.43794190171049,16.603459042059807
ppo_rnn,pitch_deg,1988,2.4520174214670676,-2.443595798220442,7.932404117134388,10.37599991535483
ppo_rnn,yaw_deg,1988,13.246509857457749,-51.308422026270804,77.91676948532196,129.22519151159275
ppo_rnn,landing_error_xy_m,1988,1.278808355331421,0.7310739010572433,2.1980528831481934,1.46697898209095
ppo_rnn,release_to_target_xy_m,1988,1.8312801122665405,1.0520927011966705,2.9044605493545532,1.8523678481578827
ppo_rnn,delta_theta_rad,1988,0.04275811277329922,0.019975144416093826,0.1037415899336338,0.08376644551753998
ppo_rnn,delta_theta_deg,1988,2.449859401854461,1.1444914702064894,5.943955263174083,4.799463792967594
ppo_rnn,delta_omega_rad_s,1988,0.1828330010175705,0.1020806860178709,0.4580748677253723,0.3559941817075014
ppo_rnn,delta_omega_deg_s,1988,10.475559314017875,5.848792478624117,26.245756621677284,20.396964143053168
ppo_rnn,impulse_metric,1988,0.3103853315114975,0.20313509181141853,0.7063901126384735,0.503255020827055
