method,metric,n,mean,std,min,max
mpc,roll_deg,1035,-0.2843228780722404,2.879278295110635,-19.34420222012165,10.523108529698565
mpc,pitch_deg,1035,0.073273398319307,2.268652240837821,-14.52225259063273,30.49000543607194
mpc,yaw_deg,1035,4.911498688881061,39.11084521958568,-85.76189061505276,84.75129582545767
mpc,landing_error_xy_m,1035,5.681250548881033,5.721353975993368,0.5323858857154846,26.28168487548828
mpc,release_to_target_xy_m,1035,5.297459680677036,4.92977647961232,1.5698516368865967,24.665864944458008
mpc,delta_theta_rad,1035,0.008395286471777537,0.013513954216765475,0.00043027420178987086,0.2656373083591461
mpc,delta_theta_deg,1035,0.48101448263612856,0.7742925411536837,0.02465289579591993,15.219896650194295
mpc,delta_omega_rad_s,1035,0.11729518736618152,0.04043931610958197,0.045265357941389084,1.016720175743103
mpc,delta_omega_deg_s,1035,6.720519193278416,2.3170021394744467,2.593513968190579,58.25377501587914
mpc,impulse_metric,1035,0.14056517622897013,0.06162717934257318,0.11828538775444031,1.4176690578460693
ppo,roll_deg,1988,2.329037391750625,20.958316142443824,-153.2223030094347,169.67677513512902
ppo,pitch_deg,1988,4.701023212273403,15.178994953449775,-73.83927632441859,87.87624397452191
ppo,yaw_deg,1988,-6.466477095930993,49.975578326140564,-172.47043178869095,161.71479629888847
ppo,landing_error_xy_m,1988,2.2679838509752344,3.17511837831986,0.01654144935309887,24.683509826660156
ppo,release_to_target_xy_m,1988,2.5012493411442582,3.3363036011395644,0.04001053795218468,23.94683265686035
ppo,delta_theta_rad,1988,0.1229820454964448,0.23238987521090804,0.0033586316276341677,5.369056224822998
ppo,delta_theta_deg,1988,7.046352162832161,13.314959051156901,0.19243541720259208,307.62426165080063
ppo,delta_omega_rad_s,1988,0.3588237640859233,0.3281607145813335,0.007945293560624123,1.4814906120300293
ppo,delta_omega_deg_s,1988,20.559087271121328,18.802223947507624,0.4552317880162325,84.88315945757394
ppo,impulse_metric,1988,0.5577500515563087,0.4251978047127198,0.08659079670906067,1.7876038551330566
ppo_gru,roll_deg,1984,-4.658378902847002,26.842962785378074,-149.6530100737261,164.72789327010457
ppo_gru,pitch_deg,1984,5.310063197846344,11.025295579622595,-69.83225022518222,85.0785984904847
ppo_gru,yaw_deg,1984,-0.5416693088534464,51.3778031828342,-177.50455441455716,168.0648778117627
ppo_gru,landing_error_xy_m,1984,2.1219975159619935,3.7574558313777566,0.02379327267408371,23.872085571289062
ppo_gru,release_to_target_xy_m,1984,2.853973023851605,3.8788425255626446,0.02557373233139515,23.606159210205078
ppo_gru,delta_theta_rad,1984,0.10181019211549644,0.25219480306073533,0.0014714462449774146,5.65883207321167
ppo_gru,delta_theta_deg,1984,5.833294319634036,14.449697830513111,0.08430765961757887,324.22719476829434
ppo_gru,delta_omega_rad_s,1984,0.3384503734846329,0.30864317551126086,0.009385389275848866,2.3837530612945557
ppo_gru,delta_omega_deg_s,1984,19.39177797529589,17.683951332310773,0.537743194593484,136.5789898135679
ppo_gru,impulse_metric,1984,0.5316263319090789,0.4216109185078301,0.09798994660377502,2.6452999114990234
ppo_rnn,roll_deg,1984,8.015804871833591,26.55549806562783,-172.57660024914964,174.8156728628632
ppo_rnn,pitch_deg,1984,3.4965661555286167,10.082989317482859,-65.1657557012028,72.27822292923383
ppo_rnn,yaw_deg,1984,19.550387157981326,71.57172389535523,-175.62357495864902,174.58691616718116
ppo_rnn,landing_error_xy_m,1984,2.679763405002661,4.3479726676762995,0.018030604347586632,27.522260665893555
ppo_rnn,release_to_target_xy_m,1984,3.299528641959994,4.2875535915049845,0.008383131586015224,24.630634307861328
ppo_rnn,delta_theta_rad,1984,0.08695942790737102,0.30245812666751737,0.0009813011856749654,5.710330009460449
ppo_rnn,delta_theta_deg,1984,4.982408207964507,17.329574137482002,0.056224416370359076,327.1778091689832
ppo_rnn,delta_omega_rad_s,1984,0.27989839849737286,0.28030689811249526,0.004444933496415615,4.648892879486084
ppo_rnn,delta_omega_deg_s,1984,16.03699692637033,16.060402230249558,0.2546759295609432,266.36194140297306
ppo_rnn,impulse_metric,1984,0.453384869527297,0.4229138407075697,0.03668183833360672,6.680455684661865
