method,metric,n,median,q1,q3,iqr
mpc,roll_deg,1035,-0.4594395047100777,-2.8912600568014177,2.30330371266838,5.194563769469798
mpc,pitch_deg,1035,0.11973321615032352,-0.9401755392522552,1.106101324759375,2.04627686401163
mpc,yaw_deg,1035,6.50847359972681,-25.648794673123582,34.61332233611694,60.26211700924052
mpc,landing_error_xy_m,1035,3.060920000076294,2.2790809869766235,7.629871606826782,5.350790619850159
mpc,release_to_target_xy_m,1035,3.061223030090332,2.283358335494995,6.079538106918335,3.79617977142334
mpc,delta_theta_rad,1035,0.005835985764861107,0.005409399047493935,0.006601806730031967,0.0011924076825380325
mpc,delta_theta_deg,1035,0.33437735362496906,0.30993573512349004,0.3782556627918946,0.06831992766840456
mpc,delta_omega_rad_s,1035,0.11077846586704254,0.10840894281864166,0.11419283971190453,0.005783896893262863
mpc,delta_omega_deg_s,1035,6.347138555115586,6.2113748849832415,6.542767766106033,0.33139288112279175
mpc,impulse_metric,1035,0.12904910743236542,0.12661577761173248,0.13349011540412903,0.006874337792396545
ppo,roll_deg,1988,0.8430160983088237,-7.940176872409863,12.09847458628908,20.038651458698943
ppo,pitch_deg,1988,1.027868338006049,-2.327537223843585,6.197744388720835,8.52528161256442
ppo,yaw_deg,1988,-5.256390641836753,-50.78899980026968,32.58278905814219,83.37178885841186
ppo,landing_error_xy_m,1988,1.3158472180366516,0.787857249379158,2.2084418535232544,1.4205846041440964
ppo,release_to_target_xy_m,1988,1.5661864876747131,0.8659535497426987,2.62979257106781,1.7638390213251114
ppo,delta_theta_rad,1988,0.06013556942343712,0.03812003135681152,0.14666837826371193,0.1085483469069004
ppo,delta_theta_deg,1988,3.445514326578908,2.1841169116516572,8.403479062538995,6.2193621508873385
ppo,delta_omega_rad_s,1988,0.20307058095932007,0.11960582248866558,0.5479807257652283,0.4283749032765627
ppo,delta_omega_deg_s,1988,11.635087232238735,6.852908833791446,31.396982840863352,24.544074007071906
ppo,impulse_metric,1988,0.35634514689445496,0.23014692962169647,0.8448447734117508,0.6146978437900543
ppo_gru,roll_deg,1984,-1.6119109837446692,-10.495405282424993,6.925528365542374,17.420933647967367
ppo_gru,pitch_deg,1984,3.162917170660335,-0.27057111378088516,9.175508791360464,9.44607990514135
ppo_gru,yaw_deg,1984,-2.345172772280558,-40.315587726972126,37.954080557291476,78.2696682842636
ppo_gru,landing_error_xy_m,1984,0.9746674299240112,0.5995229482650757,1.6515613198280334,1.0520383715629578
ppo_gru,release_to_target_xy_m,1984,1.7885011434555054,1.0095908343791962,2.8500043749809265,1.8404135406017303
ppo_gru,delta_theta_rad,1984,0.05098593048751354,0.02951920870691538,0.09898088499903679,0.06946167629212141
ppo_gru,delta_theta_deg,1984,2.9212786314819175,1.6913260734720836,5.671186962914569,3.9798608894424854
ppo_gru,delta_omega_rad_s,1984,0.2080521136522293,0.13350140303373337,0.4567858502268791,0.32328444719314575
ppo_gru,delta_omega_deg_s,1984,11.920508031048875,7.649066952907926,26.171901359295113,18.522834406387187
ppo_gru,impulse_metric,1984,0.3605049103498459,0.22727489471435547,0.7032694220542908,0.4759945273399353
ppo_rnn,roll_deg,1984,4.661242108507691,-1.1906795572516429,11.36370332594662,12.554382883198263
ppo_rnn,pitch_deg,1984,2.1095722270501382,-2.1286694359694938,7.518617596836677,9.64728703280617
ppo_rnn,yaw_deg,1984,18.225813385045427,-43.985735235965116,86.35839152583749,130.3441267618026
ppo_rnn,landing_error_xy_m,1984,1.184739112854004,0.6499326527118683,2.0251567363739014,1.375224083662033
ppo_rnn,release_to_target_xy_m,1984,1.9720175862312317,1.0591707527637482,3.098620057106018,2.03944930434227
ppo_rnn,delta_theta_rad,1984,0.03552599437534809,0.016958956141024828,0.07342815399169922,0.05646919785067439
ppo_rnn,delta_theta_deg,1984,2.0354895407129474,0.971676611828192,4.207123321161054,3.2354467093328623
ppo_rnn,delta_omega_rad_s,1984,0.17099279910326004,0.10491410456597805,0.35348159819841385,0.2485674936324358
ppo_rnn,delta_omega_deg_s,1984,9.797165715745168,6.011135403024742,20.253003712308278,14.241868309283536
ppo_rnn,impulse_metric,1984,0.2715873420238495,0.1955205500125885,0.5174818187952042,0.32196126878261566
