step,rl_mean,rl_std,baseline_mean,baseline_std,pid_mean,pid_std,rl_ema,baseline_ema,pid_ema
0,1.1679362344741822,0.17888245495869673,1.1680757427215576,0.178850123953477,1.1682547664642333,0.1787182573672076,1.1679362344741822,1.1680757427215576,1.1682547664642333
1,1.1680669796466827,0.17875219466990472,1.1684421080350875,0.17855902511502877,1.1688868081569672,0.1781731244403827,1.1679375419259073,1.1680794063746929,1.1682610868811607
2,1.1685270476341247,0.17858787878579996,1.1689488571882247,0.17820173954309187,1.169487625360489,0.17756816724475694,1.1679434369829895,1.1680881008828283,1.1682733522659539
3,1.1694165509939194,0.17835350922801307,1.1694922178983689,0.17792284120449312,1.169842735528946,0.17703252280071713,1.1679581681230988,1.1681021420529838,1.1682890460985837
4,1.1707171577215194,0.17805698276986454,1.1700668567419052,0.17768551978756703,1.169927322268486,0.17653153283082473,1.167985758019083,1.168121789199873,1.1683054288602828
5,1.1723414140939712,0.17766759465984056,1.1706479597091675,0.17747192870791273,1.1697781854867935,0.176095007210879,1.168029314579832,1.1681470509049658,1.168320156426548
6,1.1741631537675858,0.17724120856842163,1.1711997538805008,0.17727935173828574,1.1694982093572617,0.1758534014132558,1.1680906529717094,1.168177577934721,1.1683319369558551
7,1.1761358904838561,0.1767904534109602,1.1716544991731643,0.17719580858903491,1.169198486804962,0.17576799504941948,1.1681711053468309,1.1682123471471053,1.1683406024543463
8,1.1782466191053391,0.17628449580022917,1.1719653803110122,0.17731737372271714,1.1689285784959793,0.17573584408630055,1.168271860484416,1.1682498774787444,1.1683464822147627
9,1.1787771928310393,0.17629481247435377,1.1721561908721925,0.1776504546710363,1.168662776350975,0.17581835903537263,1.1683769138078821,1.1682889406126789,1.1683496451561248
10,1.1799128288030625,0.17731692547829134,1.1745423400402069,0.17768450355457233,1.1683554983139037,0.17611971910271967,1.1684922729578338,1.1683514746069543,1.1683497036877026
11,1.191937303543091,0.17889972410191482,1.1745348316431046,0.17832742108332159,1.1680485612154008,0.1765736775373486,1.1687267232636864,1.1684133081773158,1.1683466922629795
12,1.1846117371320724,0.17749462799683186,1.179013580083847,0.17991069358285083,1.1705176293849946,0.17609543689798426,1.1688855734023702,1.1685193108963812,1.1683684016341997
13,1.1886857706308365,0.17621134278411327,1.1763730216026307,0.18386045769480625,1.1687261009216308,0.1776595015119399,1.169083575374655,1.1685978480034436,1.168371978627074
14,1.1949227201938628,0.17849905196616525,1.180473765730858,0.17909474812155884,1.1719288748502732,0.17777550090481384,1.1693419668228469,1.1687166071807176,1.168407547589306
