step,rl_mean,rl_std,rl_ema,baseline_mean,baseline_std,baseline_ema,pid_mean,pid_std,pid_ema
54,54.0,0.0,12.535474997692889,54.0,0.0,12.535474997692889,54.0,0.0,12.535474997692889
55,55.0,0.0,12.960120247715961,55.0,0.0,12.960120247715961,55.0,0.0,12.960120247715961
56,56.0,0.0,13.390519045238802,56.0,0.0,13.390519045238802,56.0,0.0,13.390519045238802
57,57.0,0.0,13.826613854786414,57.0,0.0,13.826613854786414,57.0,0.0,13.826613854786414
58,58.0,0.0,14.26834771623855,58.0,0.0,14.26834771623855,58.0,0.0,14.26834771623855
59,59.0,0.0,14.715664239076164,59.0,0.0,14.715664239076164,59.0,0.0,14.715664239076164
60,60.0,0.0,15.168507596685401,60.0,0.0,15.168507596685401,60.0,0.0,15.168507596685401
61,61.0,0.0,15.626822520718548,61.0,0.0,15.626822520718548,61.0,0.0,15.626822520718548
62,62.0,0.0,16.090554295511364,62.0,0.0,16.090554295511364,62.0,0.0,16.090554295511364
63,63.0,0.0,16.55964875255625,63.0,0.0,16.55964875255625,63.0,0.0,16.55964875255625
64,64.0,0.0,17.034052265030688,64.0,0.0,17.034052265030688,64.0,0.0,17.034052265030688
65,65.0,0.0,17.513711742380384,65.0,0.0,17.513711742380384,65.0,0.0,17.513711742380384
66,66.0,0.0,17.99857462495658,66.0,0.0,17.99857462495658,66.0,0.0,17.99857462495658
67,67.0,0.0,18.488588878707013,67.0,0.0,18.488588878707013,67.0,0.0,18.488588878707013
68,68.0,0.0,18.98370298991994,68.0,0.0,18.98370298991994,68.0,0.0,18.98370298991994
69,69.0,0.0,19.483865960020744,69.0,0.0,19.483865960020744,69.0,0.0,19.483865960020744
70,70.0,0.0,19.989027300420535,70.0,0.0,19.989027300420535,70.0,0.0,19.989027300420535
71,71.0,0.0,20.49913702741633,71.0,0.0,20.49913702741633,71.0,0.0,20.49913702741633
72,72.0,0.0,21.014145657142166,72.0,0.0,21.014145657142166,72.0,0.0,21.014145657142166
73,73.0,0.0,21.534004200570745,73.0,0.0,21.534004200570745,73.0,0.0,21.534004200570745
74,74.0,0.0,22.05866415856504,74.0,0.0,22.05866415856504,74.0,0.0,22.05866415856504
75,75.0,0.0,22.58807751697939,75.0,0.0,22.58807751697939,75.0,0.0,22.58807751697939
76,76.0,0.0,23.122196741809596,76.0,0.0,23.122196741809596,76.0,0.0,23.122196741809596
77,77.0,0.0,23.660974774391498,77.0,0.0,23.660974774391498,77.0,0.0,23.660974774391498
