step,rl_mean,rl_std,rl_ema,baseline_mean,baseline_std,baseline_ema,pid_mean,pid_std,pid_ema
27,5.115934114456177,1.5948712571209582,4.953113416898364,4.472471901476383,2.049156415898007,4.878811270059217,4.159933267235756,1.842585136923014,4.825208043178786
28,5.094043066501618,1.5773146132720994,4.954522713394397,4.49946317717433,2.1128411481388962,4.875017789130369,4.130408053398132,1.8584126689072906,4.818260043280979
29,5.110516356825829,1.5977016124365675,4.956082649828711,4.3971214815974236,2.0702184300399797,4.870238826055039,4.1665388062596325,1.9011663378615022,4.811742830910766
30,5.10497505903244,1.5129163512791952,4.957571573920748,4.329042774140834,2.040146130100092,4.864826865535897,4.1390039640665055,1.9007648866728704,4.805015442242323
31,5.046222338676452,1.5120014338360592,4.958458081568305,4.266805118024349,2.0801903297437496,4.858846648060782,4.182415054738522,1.978251620938568,4.798789438367285
32,4.985446531772613,1.5261466699538715,4.958727966070349,4.212834250032902,2.0829723508577396,4.8523865240805035,4.168764938116073,2.0108012630505447,4.792489193364773
33,4.961318018436432,1.5229323292072903,4.95875386659401,4.1515160411596295,2.1174999674604287,4.845377819251295,4.168226141929626,1.992356818376526,4.786246562850422
34,4.928197140693665,1.5383547791290921,4.958448299335006,4.106465997397899,2.1510213851483866,4.837988701032761,4.187721496671438,2.015859097627183,4.780261312188632
35,4.9366466069221495,1.599801022053921,4.958230282410877,4.154451077282428,2.174017559354368,4.831153324795257,4.1392318702489135,2.0454713198858374,4.773851017769235
36,4.938672523498536,1.6133550692564782,4.9580347048217535,4.096379447132349,2.202948480385916,4.823805586018628,4.058937653824687,2.06488754549551,4.766701884129788
37,4.876069960594177,1.6091230050305203,4.957215057379478,4.101778577417135,2.2229897931664677,4.816585315932613,4.06001256801188,2.071200043054552,4.7596349909686095
38,4.879464311599731,1.6309417594318076,4.956437549921681,4.108581268787384,2.2307880599123173,4.809505275461161,4.044423391520977,2.0961396982852807,4.752482874974133
39,4.85355926990509,1.6792998987716783,4.955408767121515,4.026816045492888,2.2028326449213624,4.801678383161478,4.110357268899679,2.116524871645296,4.746061618913389
40,4.8372050428390505,1.7111213573694781,4.954226729878691,4.048534267693758,2.192360839678322,4.794146942006801,4.178220890015364,2.124120117718677,4.740383211624409
41,4.823527082204818,1.697232491444674,4.952919733401952,3.969822425246239,2.0947766157190064,4.7859036968391955,4.230674381256104,2.132208069397867,4.7352861233207255
42,4.774028673171997,1.7072527385259615,4.951130822799652,3.963841084986925,2.1175093407887595,4.7776830707206726,4.167490893304348,2.1525285222741095,4.729608171020562
43,4.7433620297908785,1.680416120758006,4.9490531348695646,4.032166779637337,2.1090823915643298,4.770227907809839,4.103263100981712,2.044104600560645,4.723344720320173
44,4.709083241224289,1.680745595820657,4.946653435933112,4.108974851667881,2.1276999360556106,4.76361537724842,4.0889175122976305,2.0483752552927594,4.717000448239948
45,4.730504442453384,1.6935385208298193,4.944491945998315,4.038205144777894,2.085666781055464,4.756361274923714,4.054860715270042,1.9910887790587553,4.710379050910249
46,4.7421811115741725,1.6830238650580513,4.942468837654074,4.046215519160032,2.105168630976049,4.749259817366077,3.9954127526283263,1.9238180330198673,4.70322938792743
47,4.6357551920413975,1.6054698951066675,4.939401701197947,4.06547781676054,2.150827813317612,4.742421997360022,3.9950265043973925,1.9518500850857754,4.696147359092129
48,4.753332777023315,1.6918298174806838,4.9375410119562,4.063120218068361,2.176389614923781,4.735628979567106,4.046211113333702,1.953417674073772,4.689647996634545
49,4.7536197745800015,1.6798290079360203,4.935701799582438,3.967248152196407,2.123554913987439,4.727945171293399,4.0986544206738476,1.9820425330966398,4.683738060874938
50,4.771920094490051,1.7076178622480964,4.934063982531515,4.0303645520657305,2.1658069855613427,4.720969365101122,4.127145721912384,1.9351060444388235,4.678172137485313
51,4.814561496973038,1.7527372095488902,4.93286895767593,3.9880902417749167,2.166593271507705,4.713640573867861,4.129523071944714,1.9662705571617793,4.6726856468299065
52,4.825111306905747,1.7771151882683314,4.931791381168228,4.045596834123135,2.171658259008958,4.706960136470414,4.159369346350432,1.977240003235897,4.667552483825111
