step,rl_roll_raw,rl_pitch_raw,rl_yaw_raw,baseline_roll_raw,baseline_pitch_raw,baseline_yaw_raw,pid_roll_raw,pid_pitch_raw,pid_yaw_raw,rl_roll_ema,rl_pitch_ema,rl_yaw_ema,baseline_roll_ema,baseline_pitch_ema,baseline_yaw_ema,pid_roll_ema,pid_pitch_ema,pid_yaw_ema
0,1.451381802558899,1.7393194437026978,13.90936279296875,1.2354484796524048,1.3076659440994263,13.889078140258789,0.7661951184272766,0.7543543577194214,13.87661361694336,1.451381802558899,1.7393194437026978,13.90936279296875,1.2354484796524048,1.3076659440994263,13.889078140258789,0.7661951184272766,0.7543543577194214,13.87661361694336
1,3.8711256980895996,4.6234283447265625,13.892740249633789,3.14745831489563,3.250218391418457,13.788325309753418,1.6406066417694092,1.979183316230774,13.807194709777832,1.475579241514206,1.7681605327129366,13.9091965675354,1.254568578004837,1.3270914685726165,13.888070611953735,0.774939233660698,0.7666026473045349,13.875919427871704
2,5.537510871887207,6.722936630249023,13.855146408081055,4.9906511306762695,5.09841775894165,13.559362411499023,3.29288387298584,3.447580575942993,13.617115020751953,1.516198557817936,1.8177082936882976,13.908656065940857,1.2919294035315514,1.364804731476307,13.884783529949187,0.8001186800539494,0.7934124265909195,13.873331383800506
3,6.12672233581543,8.103912353515625,13.80621337890625,6.14249849319458,6.46400260925293,13.260676383972168,4.945240020751953,4.911839008331299,13.36272144317627,1.562303795597911,1.880570334286571,13.90763163907051,1.3404350944281818,1.4157967102540732,13.878542458489417,0.8415698934609295,0.8345966924083232,13.868225284394265
4,6.099457740783691,8.829338073730469,13.72959041595459,6.707327842712402,7.304050922393799,12.941494941711426,6.187138080596924,6.115596771240234,13.102730751037598,1.6076753350497688,1.95005801168101,13.905851226839351,1.3941040219110241,1.4746792523754706,13.869171983321637,0.8950255753322895,0.8874066931966423,13.860570339060699
5,5.874292850494385,8.922719955444336,13.648578643798828,7.173379898071289,7.7834367752075195,12.593316078186035,6.877819538116455,6.833598613739014,12.862702369689941,1.650341510204215,2.019784631118643,13.903278501008947,1.4518967806726268,1.537766827603791,13.856413424270281,0.9548535149601313,0.9468686124020661,13.850591659366993
6,5.331528186798096,8.339568138122559,13.587711334228516,7.628587245941162,8.145960807800293,12.275691032409668,7.089383602142334,7.0391764640808105,12.679009437561035,1.6871533769701537,2.082982466188682,13.900122829341143,1.5136636853253123,1.6038487674057562,13.840606200351674,1.0161988158319533,1.0077916909188536,13.838875837148933
7,4.507509708404541,7.189468860626221,13.538179397583008,7.7408061027526855,7.8627777099609375,12.015077590942383,6.891936302185059,6.772467613220215,12.555092811584473,1.7153569402844975,2.1340473301330576,13.896503395023561,1.5759351094995862,1.666438056831308,13.822350914257582,1.0749561906954845,1.0654384501418672,13.826038006893288
8,3.5385055541992188,5.403104305267334,13.746452331542969,7.340066909790039,7.065203666687012,11.797258377075195,6.202017784118652,6.152012825012207,12.457494735717773,1.7335884264236445,2.1667378998844007,13.895002884388756,1.6335764275024909,1.720425712929865,13.80209998888576,1.1262268066297163,1.1163041938905707,13.812352574181533
9,2.8572463989257812,3.75647234916687,13.753607749938965,6.150203227996826,5.875814914703369,11.763867378234863,5.420802116394043,5.233372688293457,12.382197380065918,1.744825006148666,2.1826352443772254,13.893588933044256,1.6787426955074343,1.7619796049476,13.78171766277925,1.1691725597273595,1.1574748788345997,13.798051022240378
10,2.878551483154297,2.7121357917785645,13.841052055358887,5.376903533935547,4.884375095367432,11.690699577331543,4.869936943054199,4.10895299911499,12.326996803283691,1.7561622709187223,2.187930249851239,13.893063564267402,1.7157243038917156,1.7932035598517984,13.760807481924772,1.206180203560628,1.1869896600374037,13.78334048005081
