step,rl_roll_raw,rl_pitch_raw,rl_yaw_raw,baseline_roll_raw,baseline_pitch_raw,baseline_yaw_raw,pid_roll_raw,pid_pitch_raw,pid_yaw_raw,rl_roll_ema,rl_pitch_ema,rl_yaw_ema,baseline_roll_ema,baseline_pitch_ema,baseline_yaw_ema,pid_roll_ema,pid_pitch_ema,pid_yaw_ema
0,0.8876887559890747,1.334326148033142,18.189224243164062,1.2608232498168945,1.2440412044525146,18.168912887573242,1.4020017385482788,1.6571661233901978,18.16304588317871,0.8876887559890747,1.334326148033142,18.189224243164062,1.2608232498168945,1.2440412044525146,18.168912887573242,1.4020017385482788,1.6571661233901978,18.16304588317871
1,1.8582500219345093,2.8142271041870117,18.270105361938477,2.906583309173584,3.164616346359253,18.095911026000977,3.722426414489746,3.8385210037231445,18.103940963745117,0.8973943686485291,1.3491251575946808,18.190033054351808,1.2772808504104616,1.263246955871582,18.16818286895752,1.4252059853076935,1.6789796721935273,18.162454833984377
2,2.0794429779052734,3.304456949234009,18.407398223876953,4.928070068359375,5.003767490386963,17.894567489624023,5.773478984832764,5.424039840698242,18.01019859313965,0.9092148547410965,1.368678475511074,18.19220670604706,1.3137887425899508,1.3006521612167357,18.165446715164183,1.4686887153029442,1.7164302738785744,18.16093227157593
3,2.101853370666504,3.743049144744873,18.607648849487305,6.814529895782471,6.457081317901611,17.67723846435547,7.174892425537109,6.5331315994262695,17.927566528320312,0.9211412399003506,1.392422182203412,18.196361127481463,1.368796154121876,1.3522164527835845,18.160564632656097,1.525750752405286,1.7645972871340514,18.158598614143376
4,2.228137731552124,4.568021297454834,18.878063201904297,8.032143592834473,7.316128730773926,17.490976333618164,7.934743881225586,7.181596755981445,17.85004997253418,0.9342112048168684,1.4241781733559262,18.203178148225692,1.435429628509002,1.411855575563488,18.15386874966572,1.589840683693489,1.8187672818225253,18.155513127727282
5,2.34854793548584,5.559551239013672,19.189285278320312,8.636004447937012,7.7055745124816895,17.350994110107422,8.320613861083984,7.554063320159912,17.794105529785156,0.9483545721235581,1.4655319040125039,18.213039219526635,1.5074353767032822,1.4747927649326702,18.145840003270134,1.657148415467394,1.8761202422058991,18.151899051747858
6,2.5983119010925293,6.180237770080566,19.50153350830078,8.630309104919434,7.717072010040283,17.25847625732422,8.272852897644043,7.736851215362549,17.78118896484375,0.9648541454132479,1.5126789626731845,18.225924162414376,1.5786641139854438,1.5372155573837463,18.13696636581067,1.7233054602891607,1.9347275519374658,18.148191950878818
7,2.9473917484283447,6.498186111450195,19.823936462402344,8.1242094039917,7.330057621002197,17.208017349243164,7.805572032928467,7.677433967590332,17.80382537841797,0.9846795214433989,1.5625340341609548,18.241904285414254,1.6441195668855064,1.5951439780199308,18.127676875644998,1.7841281260155537,1.9921546160939945,18.14474828515421
8,3.274224042892456,6.463738918304443,20.18535041809082,7.232790946960449,6.709435939788818,17.188873291015625,7.034435749053955,7.277778148651123,17.86897850036621,1.0075749666578895,1.6115460830023898,18.261338746741018,1.700006280686256,1.6462868976376197,18.1182888397987,1.8366312022459377,2.045010851419566,18.14199058730633
9,3.6691951751708984,6.169752597808838,20.53172492980957,6.455206871032715,5.923514366149902,17.172100067138672,6.346423625946045,6.677552223205566,17.9748592376709,1.0341911687430196,1.6571281481504543,18.284042608571703,1.7475582865897206,1.6890591723227426,18.1088269520721,1.8817291264829388,2.091336265137426,18.140319273809975
