method,n_drop,landing_mean_m,landing_p90_m,roll_abs_mean_deg,pitch_abs_mean_deg,no_drop_rate
PPO,1993,11.242921649077903,21.726321411132812,8.169740866978856,4.999665490140969,0.0035
Proposed,1962,2.314153558924456,4.2642103195190435,15.61666196832848,7.646092661830542,0.019
PPO-GRU,1982,2.6918917092852723,8.642053699493415,14.622764055463799,7.536092708196454,0.009
MPC,1049,5.63392539872114,15.707107353210452,2.5973704948821004,1.529129598873281,0.4755
