method,n_drop,landing_mean_m,landing_p90_m,roll_abs_mean_deg,pitch_abs_mean_deg,no_drop_rate
PPO,1991,2.4693407643088694,5.68876838684082,14.11934958398152,9.110471584285992,0.0045
PPO-GRU,1989,3.0498701616224557,13.532991600036626,7.824483783550222,6.237489494728871,0.0055
PPO-RNN,1993,2.497890880353827,5.974631023406983,16.880889663760502,7.315003797355726,0.0035
MPC,1071,6.092261760119074,16.748485565185547,2.8394497875888667,1.4746764377953485,0.4645
