method,n_drop,landing_mean_m,landing_p90_m,roll_abs_mean_deg,pitch_abs_mean_deg,no_drop_rate
PPO,1973,11.306770826293862,21.777359390258788,7.9470949297306674,5.304653741671578,0.0135
PPO-GRU,1939,3.4660416694089977,14.989676284790042,9.44462099047251,6.577903983806134,0.0305
PPO-RNN,1928,2.7113435598925,7.086183071136474,14.188155821657121,7.015461452173414,0.036
MPC,959,4.764929638726868,13.709286499023442,2.3207249256383222,1.4720623405681061,0.5205
