method,metric,n,mean,std,min,max
mpc,roll_deg,959,0.06619420500413142,2.7467500248080277,-9.980887132247933,13.357404808822077
mpc,pitch_deg,959,0.1712037981632986,2.077646524988213,-15.560113495394509,11.81132318829799
mpc,yaw_deg,959,7.442950012042329,38.431755580231545,-82.67180375151227,80.9590381944832
mpc,landing_error_xy_m,959,4.764929638726868,6.111853607324308,0.4192589223384857,33.030250549316406
mpc,release_to_target_xy_m,959,4.634691576266563,5.454375482775666,1.5259546041488647,31.558332443237305
mpc,delta_theta_rad,959,0.008160776767502922,0.010757352606768241,0.0006607614341191947,0.12000086158514023
mpc,delta_theta_deg,959,0.46757806632633214,0.6163509031018745,0.03785884144004145,6.875542906762105
mpc,delta_omega_rad_s,959,0.11600739499932783,0.03193722326472014,0.05144330859184265,0.5078387260437012
mpc,delta_omega_deg_s,959,6.646734125768536,1.8298681024354888,2.94748446650167,29.09701567560452
mpc,impulse_metric,959,0.14064524731403596,0.047900150514508306,0.11115211248397827,0.6562471389770508
ppo,roll_deg,1973,0.7269783537587468,16.32856629565261,-170.35738982554244,132.00844578704877
ppo,pitch_deg,1973,2.7780865917177304,12.099886172944068,-72.71557360216809,87.22109222933429
ppo,yaw_deg,1973,-3.0738012762023406,41.599700993317306,-177.47980180900504,176.03092744074857
ppo,landing_error_xy_m,1973,11.306770826293862,8.295565438838004,0.0632697120308876,25.780712127685547
ppo,release_to_target_xy_m,1973,11.464447979233286,8.280002440898643,0.025235295295715332,23.998632431030273
ppo,delta_theta_rad,1973,0.06913042206490835,0.24642078465251155,0.0003216853365302086,5.725510120391846
ppo,delta_theta_deg,1973,3.960881420277311,14.118870944891043,0.01843121211442652,328.04756545789263
ppo,delta_omega_rad_s,1973,0.26571647237346246,0.24710982455496178,0.003975975327193737,1.4021655321121216
ppo,delta_omega_deg_s,1973,15.224432414103937,14.158350023217546,0.2278066056963477,80.33816716873987
ppo,impulse_metric,1973,0.40822385188458354,0.3380009101878888,0.06378812342882156,1.8188111782073975
ppo_gru,roll_deg,1939,1.3482721773308255,22.229104897562436,-179.67262038165927,174.91367241707457
ppo_gru,pitch_deg,1939,5.183870969184136,9.847952486624095,-63.39728312130309,73.82687270088584
ppo_gru,yaw_deg,1939,5.20467397822022,55.0945547068683,-177.7978427375175,157.56389909497497
ppo_gru,landing_error_xy_m,1939,3.4660416694089977,5.89146833218256,0.019123561680316925,24.96660614013672
ppo_gru,release_to_target_xy_m,1939,4.278809671221534,5.926212401252463,0.07021615654230118,23.636856079101562
ppo_gru,delta_theta_rad,1939,0.07345993063172931,0.32535477470126256,0.000606578541919589,6.155612468719482
ppo_gru,delta_theta_deg,1939,4.208943988521885,18.641455434812112,0.03475439039519174,352.69061477573183
ppo_gru,delta_omega_rad_s,1939,0.246906421655936,0.30847072824275723,0.011085057631134987,9.5056734085083
ppo_gru,delta_omega_deg_s,1939,14.146695895562642,17.674070831636953,0.6351270179233208,544.6349677372613
ppo_gru,impulse_metric,1939,0.3810633019289139,0.43148841020191575,0.05693308264017105,12.514175415039062
ppo_rnn,roll_deg,1928,6.399850245996932,28.99684697195092,-178.00026222376,177.38374202851796
ppo_rnn,pitch_deg,1928,3.2907788504026176,10.670508130108699,-65.82593446561955,73.87181534562453
ppo_rnn,yaw_deg,1928,20.48328769036541,71.45255989703425,-171.99690843391232,176.17676563990668
ppo_rnn,landing_error_xy_m,1928,2.7113435598925,4.3231174467374345,0.033244092017412186,29.426586151123047
ppo_rnn,release_to_target_xy_m,1928,3.1693543326109648,4.152467934706101,0.04096595570445061,27.01734733581543
ppo_rnn,delta_theta_rad,1928,0.10989950593284448,0.46084065690212805,0.00025569010176695883,5.967447757720947
ppo_rnn,delta_theta_deg,1928,6.296777860524939,26.404224668528354,0.014649963694517255,341.9095709822169
ppo_rnn,delta_omega_rad_s,1928,0.281152047110621,0.2762420046984678,0.008744578808546066,1.9813532829284668
ppo_rnn,delta_omega_deg_s,1928,16.108825700901875,15.827500993455264,0.5010274593492275,113.52318083619124
ppo_rnn,impulse_metric,1928,0.44497866204580394,0.4130840488135245,0.061798255890607834,2.2501254081726074
