Wall time,Step,Value
1768731495.4054518,958464,-14.459888458251953
1768731498.799471,962560,-13.809179306030273
1768731502.2547615,966656,-15.95968246459961
1768731505.623468,970752,-15.103846549987793
1768731508.997535,974848,-15.73827075958252
1768731512.4189332,978944,-14.714700698852539
1768731515.835143,983040,-14.558042526245117
1768731519.279367,987136,-17.985694885253906
1768731522.651839,991232,-15.228486061096191
1768731526.1238763,995328,-17.3675537109375
1768731529.5235388,999424,-15.593050956726074
1768731532.9121034,1003520,-15.487936973571777
1768731536.2585373,1007616,-14.767231941223145
1768731539.6435668,1011712,-18.521902084350586
1768731543.0302472,1015808,-17.116592407226562
1768731546.418651,1019904,-18.460187911987305
1768731549.810784,1024000,-18.923683166503906
1768731553.1848679,1028096,-19.87855339050293
1768731556.62812,1032192,-20.065088272094727
1768731560.1395073,1036288,-18.83182144165039
1768731563.5351744,1040384,-15.60032844543457
1768731566.938554,1044480,-18.7001895904541
1768731570.2906802,1048576,-18.833026885986328
1768731573.6414843,1052672,-21.42104721069336
1768731577.0340912,1056768,-20.748641967773438
1768731580.4762337,1060864,-27.881166458129883
1768731583.8335247,1064960,-25.844440460205078
1768731587.215054,1069056,-22.65625
1768731590.7170603,1073152,-26.18012237548828
1768731594.0329928,1077248,-24.478954315185547
1768731597.4079387,1081344,-24.304468154907227
1768731600.7794738,1085440,-29.141254425048828
1768731604.1376722,1089536,-28.385093688964844
1768731607.4592586,1093632,-35.273929595947266
1768731610.8429182,1097728,-36.356719970703125
1768731614.235061,1101824,-33.38220977783203
1768731617.6527553,1105920,-29.94740104675293
1768731621.007491,1110016,-30.447765350341797
1768731624.3726718,1114112,-31.36924171447754
1768731627.8064733,1118208,-32.89337921142578
1768731631.1927938,1122304,-31.2774600982666
1768731634.574241,1126400,-29.046348571777344
1768731637.983882,1130496,-31.554349899291992
1768731641.3527336,1134592,-29.608827590942383
1768731644.7643976,1138688,-27.971925735473633
1768731648.3038783,1142784,-26.238088607788086
1768731651.7267668,1146880,-27.825145721435547
1768731655.1291034,1150976,-24.40406608581543
1768731658.4605408,1155072,-20.971376419067383
1768731661.9425712,1159168,-20.083919525146484
1768731665.3622854,1163264,-22.255878448486328
1768731668.841962,1167360,-22.16981315612793
1768731672.2105746,1171456,-24.598947525024414
1768731675.6056292,1175552,-25.96493148803711
1768731678.960659,1179648,-31.968351364135742
1768731682.3460906,1183744,-30.6495304107666
1768731685.7382274,1187840,-28.513641357421875
1768731689.252985,1191936,-27.81804656982422
1768731692.6839905,1196032,-27.37159538269043
1768731696.1057267,1200128,-23.046022415161133
1768731699.5038695,1204224,-22.718114852905273
1768731702.9116187,1208320,-22.595947265625
1768731706.2500737,1212416,-23.667070388793945
1768731709.641598,1216512,-23.05911636352539
1768731713.0560973,1220608,-24.69976806640625
1768731716.6357944,1224704,-25.03104591369629
