method,n_drop,landing_mean_m,landing_p90_m,roll_abs_mean_deg,pitch_abs_mean_deg,no_drop_rate
PPO,1830,6.832315732412488,15.081891345977787,20.078418212211,13.45144047954415,0.085
PPO-GRU,1731,5.810451994451534,16.510915756225586,21.142472417675293,11.507382942659975,0.1345
PPO-RNN,1704,6.016535204780581,16.456915664672852,23.72376420076297,10.923463819692914,0.148
MPC,437,6.856502077160766,22.122582244873048,2.805109208419632,1.8112720144330106,0.7815
