epoch,reward_raw,reward_smooth,residual_std
161,-8.45178032,-17.50002347,3.71185747
162,-6.35325193,-17.38855576,3.73803237
163,-4.63460398,-17.26101624,3.75674081
164,-5.29664803,-17.14137256,3.75037182
165,-8.92474270,-17.05920626,3.73844033
166,-5.54590273,-16.94407322,3.73355114
167,-3.48614669,-16.80949396,3.72283003
168,-1.99168074,-16.66131583,3.73225358
169,-9.32769108,-16.58797958,3.71023716
170,-6.64928389,-16.48859262,3.72032678
171,-6.86039066,-16.39231060,3.72302887
172,-6.10910463,-16.28947854,3.60903153
173,-4.54512262,-16.17203498,3.51718634
174,-4.44382334,-16.05475287,3.46072899
175,-3.70099425,-15.93121528,3.45938159
176,-4.80180979,-15.81992123,3.45645001
177,-6.36048555,-15.72532687,3.43446405
178,-7.52207565,-15.64329436,3.19839579
179,-5.93583679,-15.54621978,3.18185989
180,-4.83443117,-15.43910190,3.12551592
181,-5.15029669,-15.33621384,3.05013109
182,-5.56311131,-15.23848282,3.01126231
183,-3.70007372,-15.12309873,2.97826614
184,-5.32335234,-15.02510126,2.91274849
185,-3.38479757,-14.90869823,2.88784719
186,-6.80911160,-14.82770236,2.72512694
187,-4.10669899,-14.72049233,2.68258005
188,-3.40600491,-14.60734745,2.61050949
189,-3.75229764,-14.49879695,2.60757742
190,-5.80318213,-14.41184081,2.58917869
191,-3.92954588,-14.30701786,2.57993725
192,-3.82510543,-14.20219873,2.56526140
193,-2.57182074,-14.08589495,2.56535341
194,-3.41933155,-13.97922932,2.51647423
195,-2.85330963,-13.86797012,2.27510070
196,-3.47404957,-13.76403092,2.18819788
197,-3.33516741,-13.65974228,2.10146805
198,-3.13418365,-13.55448669,1.96974878
199,-2.98464632,-13.44878829,1.91556406
200,-5.57198191,-13.37002023,1.87073271
201,-4.10418367,-13.27736186,1.79293406
202,-7.41137695,-13.21870201,1.75771837
203,-5.04937124,-13.13700870,1.73617939
204,-7.30763483,-13.07871497,1.72757549
205,-4.35408306,-12.99146865,1.72334676
206,-6.40074825,-12.92556144,1.73077219
207,-1.47768736,-12.81108270,1.73066247
208,-5.71247196,-12.74009659,1.71441926
209,-2.16549134,-12.63435054,1.75078089
210,-1.13451457,-12.51935218,1.79896916
211,0.66674423,-12.38749122,1.79778406
212,0.23892304,-12.26122708,1.79522275
213,1.38068402,-12.12480796,1.79524490
214,-1.24181938,-12.01597808,1.81876966
215,0.20780523,-11.89374025,1.81572121
216,-1.01029348,-11.78490578,1.79977034
217,0.36402395,-11.66341648,1.80028466
218,-0.38774973,-11.55065981,1.77891044
219,-1.05739939,-11.44572721,1.74367384
220,-0.03405212,-11.33161046,1.71400427
221,0.65043294,-11.21179002,1.71480785
222,-0.45511997,-11.10422332,1.71275723
223,0.13717626,-10.99180933,1.72108137
224,-0.95816243,-10.89147286,1.72997647
225,1.79753411,-10.76458279,1.75518322
226,1.26134574,-10.64432350,1.75110514
227,5.22012138,-10.48567905,1.75224333
228,3.04563284,-10.35036594,1.76721451
229,3.14025474,-10.21545973,1.76233570
230,-0.55668885,-10.11887202,1.77637497
231,2.73892856,-9.99029401,1.77996576
232,1.70819759,-9.87330910,1.78125061
233,0.28149357,-9.77176107,1.79100544
234,-0.78235531,-9.68186701,1.79922848
235,2.83470368,-9.55670131,1.79928533
236,2.39406466,-9.43719365,1.81495751
237,2.25876021,-9.32023411,1.80221885
238,0.45875156,-9.22244425,1.80766834
239,3.53612852,-9.09485852,1.81218148
240,1.86494339,-8.98526051,1.81924218
241,3.19643450,-8.86344356,1.81453389
242,2.21964264,-8.75261269,1.81451545
243,4.38214064,-8.62126516,1.81912902
244,1.95091748,-8.51554333,1.81487755
245,3.85355282,-8.39185237,1.81630068
246,1.78061485,-8.29012770,1.84109537
247,2.38075805,-8.18341884,1.88314785
248,2.02951407,-8.08128951,1.94776379
249,3.19205093,-7.96855611,1.96757874
250,2.54621053,-7.86340844,1.96698431
251,2.14254928,-7.76334887,1.95496819
252,4.14558172,-7.64425956,1.95335391
253,3.50182462,-7.53279872,1.91399855
254,5.45102644,-7.40296047,1.90902657
255,3.54088163,-7.29352204,1.86935305
256,1.86235559,-7.20196327,1.94701085
257,1.89536834,-7.11098995,1.96602228
258,3.58682895,-7.00401176,1.97201249
259,0.07851166,-6.93318653,1.98860341
260,-0.46743774,-6.86852904,2.06416069
261,2.87214541,-6.77112230,2.10420011
262,2.70561576,-6.67635492,2.11331014
263,4.47983742,-6.56479299,2.11143134
264,0.51437211,-6.49400134,2.08648092
265,4.91580391,-6.37990329,2.08630641
266,4.54914522,-6.27061280,2.08766957
267,3.45519280,-6.17335475,2.08952515
268,4.46593237,-6.06696188,2.07808038
269,2.30959082,-5.98319635,2.08137956
270,4.46988440,-5.87866554,2.09935009
271,3.87258315,-5.78115306,2.09991502
272,4.34559393,-5.67988559,2.10338886
273,3.17426991,-5.59134403,2.11735810
274,2.85647321,-5.50686586,2.12700054
275,1.79499996,-5.43384720,2.14621664
276,3.66425800,-5.34286615,2.12096191
277,4.21735573,-5.24726393,2.10893216
278,2.67704010,-5.16802089,2.05346638
279,3.47154903,-5.08162519,2.02951114
280,2.98628283,-5.00094611,2.04824061
281,4.25230598,-4.90841359,2.08235080
282,4.81542873,-4.81117517,2.12347564
283,3.60245943,-4.72703882,2.18097249
284,3.57672238,-4.64400121,2.18541792
285,5.13771343,-4.54618406,2.20209418
286,3.07256866,-4.46999653,2.17229378
287,5.33702755,-4.37192629,2.17117114
288,4.49806023,-4.28322643,2.19023369
289,4.40346050,-4.19635956,2.23036612
290,4.38153076,-4.11058066,2.23553439
291,5.29771614,-4.01649769,2.25858879
292,6.10135984,-3.91531911,2.23847872
293,5.03632069,-3.82580271,2.23867030
294,5.91501808,-3.72839451,2.20008441
295,5.67942142,-3.63431635,2.19503493
296,3.40017509,-3.56397143,2.16046387
297,2.59404325,-3.50239129,2.15467538
298,1.57187331,-3.45164864,2.15772032
299,3.77828884,-3.37934927,2.16714412
300,6.77358484,-3.27781992,2.15170628
301,6.86889744,-3.17635275,2.17542660
302,7.12677097,-3.07332151,2.17231609
303,5.49981356,-2.98759016,2.15872864
304,5.76813841,-2.90003288,2.16599132
305,5.45806074,-2.81645194,2.11193323
306,1.61833751,-2.77210405,2.08598592
307,2.86074018,-2.71577560,2.08414708
308,5.30958557,-2.63552199,2.07735597
309,3.48470569,-2.57431972,2.06566041
310,1.81683969,-2.53040812,2.07073792
311,3.02527308,-2.47485131,2.08704358
312,3.60184169,-2.41408438,2.08690375
313,4.80661345,-2.34187740,2.08551514
314,5.44347954,-2.26402383,2.04766172
315,6.39091396,-2.17747445,2.04883492
316,4.91584539,-2.10654125,2.01113996
317,6.06883717,-2.02478747,1.98520872
318,6.45745850,-1.93996501,2.03678799
319,5.62123775,-1.86435298,2.03572835
320,4.77573729,-1.79795208,2.04699479
321,5.79306459,-1.72204191,2.02785957
322,4.98718691,-1.65494963,2.01099027
323,4.99325657,-1.58846756,2.00692022
324,5.05116606,-1.52207123,2.00162144
325,4.84936333,-1.45835688,1.99318898
326,8.32404423,-1.36053287,1.99191208
327,6.43221951,-1.28260535,1.97718579
328,3.40997362,-1.23567956,1.96371081
329,4.82506990,-1.17507206,1.96217456
330,2.59713888,-1.13734995,1.95393469
331,3.95531392,-1.08642331,1.95545655
332,2.01780462,-1.05538104,1.93845564
333,1.92671490,-1.02556008,1.91954074
334,5.71953487,-0.95810913,1.93897423
335,4.99330091,-0.89859503,1.93344488
336,6.61065292,-0.82350255,1.91525389
337,4.53004265,-0.76996709,1.93830003
338,3.47349072,-0.72753252,1.91788394
339,3.28253412,-0.68743185,1.93090963
340,3.10103750,-0.64954716,1.91668953
341,3.48264122,-0.60822527,1.90188870
342,5.19658518,-0.55017717,1.88114520
343,4.75615406,-0.49711386,1.86449512
344,4.92892742,-0.44285344,1.85195256
345,5.64550209,-0.38196989,1.82057668
346,5.80286551,-0.32012153,1.78662004
347,6.14952421,-0.25542508,1.79173489
348,4.69093418,-0.20596148,1.79297191
349,4.55385685,-0.15836330,1.79286736
350,5.40373993,-0.10274227,1.78534413
351,3.38380790,-0.06787677,1.74604873
352,5.64497566,-0.01074824,1.68663413
353,4.13646793,0.03072392,1.61548031
354,3.58128738,0.06622955,1.59341353
355,5.01713657,0.11573862,1.55709271
356,6.44970894,0.17907833,1.53101460
357,6.02651978,0.23755274,1.53083090
358,7.24433804,0.30762059,1.55195044
359,5.08488607,0.35539325,1.55925172
360,6.15117788,0.41335110,1.56274946
361,4.91632938,0.45838088,1.57412513
362,5.18883801,0.50568545,1.57443739
363,5.52841902,0.55591279,1.59072636
364,7.71038628,0.62745752,1.58163324
365,7.04039526,0.69158690,1.56363531
366,6.06239223,0.74529495,1.52376288
367,5.63359785,0.79417798,1.51261881
368,2.35801840,0.80981638,1.48345186
369,3.98425460,0.84156077,1.44179592
370,4.98386145,0.88298377,1.41947968
371,5.29705667,0.92712450,1.41477381
372,6.16286993,0.97948196,1.39590056
373,4.42626953,1.01394983,1.40466371
374,5.93204021,1.06313074,1.39374742
375,7.49127007,1.12741213,1.38764076
376,7.55129623,1.19165097,1.37901040
377,8.42504406,1.26398490,1.28511221
378,5.83380127,1.30968307,1.24768246
379,6.57704687,1.36235670,1.25243113
380,6.59717035,1.41470484,1.24477976
381,6.00027657,1.46056056,1.24194708
382,6.63417816,1.51229673,1.24406964
383,5.84395123,1.55561328,1.24087747
384,4.32464123,1.58330356,1.23190871
385,6.36731672,1.63114369,1.25008210
386,5.42001820,1.66903243,1.27926328
387,4.42679119,1.69661002,1.27044694
388,5.36053371,1.73324926,1.26783006
389,4.09453011,1.75686207,1.27729048
390,6.37696266,1.80306307,1.27785046
391,6.61410427,1.85117349,1.27635026
392,5.62876654,1.88894942,1.28005910
393,4.21241283,1.91218405,1.27401196
394,5.31009674,1.94616318,1.31370692
395,5.48967886,1.98159833,1.31458641
396,6.32088184,2.02499117,1.33334467
397,5.61532354,2.06089449,1.35227608
398,6.72127485,2.10749830,1.34111085
399,7.22382450,2.15866156,1.35190600
400,7.45013523,2.21157629,1.35736844
401,4.99810457,2.23944158,1.38620393
402,6.58093929,2.28285655,1.38967759
403,7.77151918,2.33774318,1.40842733
404,5.88031769,2.37316893,1.41542086
405,7.17937422,2.42123098,1.42978630
406,6.49482822,2.46196695,1.43078391
407,8.45781898,2.52192547,1.41544393
408,5.12665415,2.54797276,1.40540000
409,4.50029278,2.56749596,1.39524358
410,6.26229715,2.60444397,1.41827115
411,5.67359543,2.63513549,1.41833583
412,7.19651270,2.68074926,1.41757650
413,5.25959635,2.70653773,1.42297008
414,6.44483089,2.74392066,1.44008229
415,9.10173798,2.80749883,1.43202653
416,6.98251772,2.84924902,1.41302653
417,8.82835197,2.90904005,1.40701716
418,9.03130627,2.97026271,1.40725458
419,7.60370970,3.01659718,1.39777656
420,8.63094044,3.07274062,1.40211347
421,6.62336826,3.10824689,1.42135042
422,6.48923683,3.14205679,1.41993348
423,5.44688940,3.16510512,1.41253058
424,7.27825928,3.20623666,1.43277389
425,9.30762386,3.26725053,1.43080407
426,8.46570015,3.31923503,1.41620431
427,8.01620960,3.36620477,1.40287577
428,8.14646149,3.41400734,1.35624902
429,6.95125818,3.44937985,1.35614960
430,7.80132294,3.49289928,1.34837163
431,8.17858124,3.53975610,1.34811771
432,9.04161453,3.59477468,1.34618966
433,9.49564266,3.65378336,1.33773917
434,7.57658482,3.69301138,1.33558042
435,5.33092165,3.70939048,1.33743730
436,5.23728704,3.72466945,1.33175640
437,5.73742867,3.74479704,1.33152578
438,8.14907360,3.78883980,1.33439860
439,9.91161823,3.85006759,1.33677876
440,7.73403263,3.88890724,1.33203464
441,8.83191013,3.93833727,1.33608805
442,7.40854836,3.97303938,1.33066801
443,8.68325138,4.02014150,1.33132601
444,5.17379761,4.03167806,1.32651931
445,7.43571377,4.06571842,1.32750617
446,5.70955896,4.08215682,1.33345488
447,5.57423449,4.09707760,1.34147600
448,7.28668118,4.12897363,1.34384470
449,6.62009764,4.15388487,1.33954647
450,7.14679909,4.18381402,1.33015244
451,5.33012819,4.19527716,1.32841331
452,7.19086885,4.22523308,1.33706490
453,5.69686317,4.23994938,1.33411058
454,7.01414490,4.26769133,1.32454278
455,6.30634403,4.28807786,1.32451146
456,7.51005602,4.32029764,1.31790566
457,7.94784307,4.35657309,1.31667936
458,8.67199230,4.39972729,1.31960938
459,6.13921595,4.41712217,1.32725510
460,5.78529406,4.43080389,1.32041866
461,6.66456366,4.45314149,1.32838166
462,8.26309013,4.49124098,1.33023311
463,7.01068687,4.51643544,1.34947165
464,5.98145008,4.53108558,1.38891284
465,5.57816553,4.54155638,1.39550441
466,7.42065477,4.57034737,1.36125913
467,7.60450172,4.60068891,1.35803420
468,7.29372931,4.62761931,1.33014097
469,6.92449141,4.65058803,1.29792544
470,7.16866732,4.67576883,1.29143269
471,6.06536531,4.68966479,1.28674461
472,8.37822914,4.72655044,1.28602605
473,8.28994274,4.76218436,1.29624154
474,6.04348135,4.77499733,1.29509050
475,7.55526352,4.80279999,1.29812681
476,6.67501307,4.82152212,1.26326848
477,6.47763109,4.83808321,1.24591043
478,8.43437672,4.87404615,1.24171626
479,9.42980671,4.91960375,1.22974910
480,9.33421803,4.96374989,1.23370050
481,6.84829760,4.98259537,1.24934760
482,9.27302837,5.02549970,1.23703205
483,9.16827393,5.06692744,1.20889588
484,8.30934715,5.09935164,1.17272894
485,9.65204906,5.14487861,1.16774996
486,8.47052097,5.17813504,1.16356897
487,8.56746006,5.21202829,1.15986793
488,9.89841938,5.25889220,1.16039887
489,7.95939875,5.28589726,1.14941667
490,9.02908421,5.32332913,1.10075769
491,7.31543446,5.34325019,1.09523260
492,8.35026455,5.37332033,1.08252974
493,8.33972931,5.40298442,1.08321746
494,8.71214867,5.43607606,1.06589344
495,9.45614719,5.47627677,1.05551304
496,10.25544548,5.52406846,1.05473220
497,7.30876303,5.54191541,1.05324829
498,8.20197296,5.56851598,1.05637533
499,8.54166508,5.59824747,1.05607388
500,9.48636341,5.63712863,1.07611848
501,10.79485703,5.68870592,1.07803200
502,7.45291901,5.70634805,1.07552038
503,8.98362446,5.73912081,1.07731461
504,10.44786072,5.78620821,1.06989953
505,9.10900307,5.81943616,1.10031528
506,9.62469959,5.85748879,1.10032526
507,8.90155411,5.88792945,1.09934780
508,6.47543335,5.89380449,1.11071083
509,7.61005163,5.91096696,1.10067061
510,9.02780724,5.94213536,1.09693942
511,7.75573730,5.96027138,1.09184862
512,10.04556942,6.00112436,1.09170080
513,6.69360113,6.00804913,1.10320737
514,5.87975740,6.00676621,1.10738824
515,7.80799437,6.02477849,1.10086548
516,9.04952049,6.05502591,1.09142469
517,9.09744263,6.08545008,1.09148674
518,9.03628922,6.11495847,1.11554907
519,9.02741337,6.14408302,1.11856085
520,8.55177879,6.16815998,1.11749368
521,7.00814581,6.17655984,1.11982582
522,9.04433823,6.20523762,1.11550738
523,7.58123922,6.21899764,1.11381243
524,9.77353477,6.25454301,1.11265919
525,7.90520239,6.27104960,1.10297922
526,9.82444763,6.30658358,1.10721509
527,8.69746780,6.33049242,1.10379309
528,7.91048622,6.34629236,1.10174230
529,8.69836235,6.36981306,1.09934676
530,8.10973930,6.38721232,1.08913843
531,6.79787827,6.39131898,1.07834919
532,8.82227802,6.41562857,1.07478629
533,9.39464664,6.44541875,1.06643126
534,8.39909363,6.46495550,1.06330933
535,9.57095623,6.49601551,1.08939504
536,9.83494854,6.52940484,1.09127438
537,8.47663975,6.54887719,1.11638943
538,8.48438931,6.56823231,1.12592197
539,9.35343456,6.59608433,1.11169391
540,9.26120663,6.62273556,1.11168863
541,9.11162949,6.64762450,1.12681971
542,10.80956554,6.68924391,1.12615625
543,8.55483341,6.70789980,1.12565838
544,9.85960388,6.73941684,1.12619784
545,9.09616089,6.76298428,1.12861428
546,10.03298283,6.79568427,1.12063107
547,8.60441494,6.81377157,1.10120495
548,8.05185223,6.82615238,1.09901346
549,9.10356712,6.84892653,1.10395388
550,11.66290760,6.89706634,1.12320834
551,10.32252216,6.93132090,1.11618915
552,11.06889057,6.97269659,1.09139553
553,10.40104198,7.00698005,1.08887408
554,9.62942123,7.03320446,1.13334574
555,7.17758369,7.03464825,1.11303537
556,10.49074936,7.06920926,1.11322208
557,9.82089424,7.09672611,1.10574554
558,7.99263096,7.10568516,1.11089708
559,9.28298664,7.12745818,1.09564182
560,9.53928280,7.15157642,1.09437694
561,10.69075203,7.18696818,1.11359776
562,10.38606167,7.21895911,1.11888602
563,11.89600658,7.26572959,1.10733073
564,9.00766563,7.28314895,1.09406940
565,10.43184566,7.31463592,1.06659608
566,9.17947006,7.33328426,1.06465189
567,9.93011379,7.35925255,1.06919034
568,12.48495197,7.41050955,1.06767140
569,11.03506470,7.44675510,1.06952720
570,10.21240902,7.47441164,1.07078008
571,9.48452091,7.49451273,1.08227321
572,11.29847240,7.53255233,1.07254452
573,10.95955086,7.56682231,1.07698152
574,10.92685509,7.60042264,1.07391471
575,10.03588676,7.62477728,1.06892453
576,9.45874691,7.64311698,1.06819719
577,10.12731075,7.66795892,1.11449494
578,11.45017910,7.70578112,1.14789108
579,10.72659016,7.73598921,1.15463112
580,11.38913631,7.77252068,1.15464352
581,10.96173573,7.80441283,1.15842162
582,10.34334183,7.82980212,1.15542484
583,10.04539585,7.85195806,1.15544897
584,11.71004105,7.89053889,1.17128285
585,8.22240257,7.89385752,1.19175699
586,8.72451687,7.90216412,1.18942785
587,8.14974785,7.90463995,1.18839679
588,8.95100212,7.91510358,1.18863950
589,9.67242432,7.93267678,1.18992590
590,10.53867245,7.95873674,1.19019951
591,12.77417088,8.00689108,1.19027137
592,10.12704086,8.02809258,1.19020604
593,10.76882935,8.05549995,1.18542337
594,10.23371220,8.07728207,1.19125607
595,11.72509956,8.11376024,1.18811544
596,10.95775414,8.14220018,1.18884794
597,11.18195248,8.17259771,1.19838468
598,10.34085083,8.19428024,1.19775013
599,9.75517273,8.20988916,1.19466279
600,8.67817307,8.21457200,1.19789299
601,10.50594425,8.23748572,1.17126565
602,9.73278141,8.25243868,1.16761324
603,10.60066223,8.27592092,1.15279077
604,7.52118397,8.26837355,1.14628457
605,11.20764637,8.29776627,1.16322813
606,9.90639400,8.31385255,1.14631808
607,11.07485104,8.34146254,1.18987126
608,9.55513859,8.35359930,1.18928438
609,10.85767841,8.37864009,1.18398047
610,11.37197876,8.40857348,1.18890444
611,8.67498112,8.41123755,1.20972034
612,9.58352757,8.42296045,1.20167582
613,10.54536438,8.44418449,1.20339389
614,10.92334366,8.46897608,1.17937422
615,10.20155048,8.48630183,1.18339882
616,10.87908268,8.51022964,1.17958925
617,12.11969948,8.54632433,1.18914595
618,11.02637672,8.57112486,1.18884036
619,11.83816147,8.60379522,1.15199135
620,11.75926208,8.63534989,1.14576240
621,9.49659348,8.64396233,1.14513320
622,10.42830467,8.66180575,1.14507806
623,10.04052258,8.67559292,1.13022504
624,10.43855858,8.69322258,1.12003206
625,10.76833439,8.71397369,1.16900385
626,11.83946609,8.74522862,1.20332461
627,7.75451946,8.73532153,1.23787375
628,8.33586025,8.73132691,1.24985380
629,9.61192226,8.74013287,1.23407543
630,11.05289268,8.76326047,1.23778575
631,12.28570175,8.79848488,1.22727990
632,9.39891243,8.80448915,1.21857974
633,11.10631180,8.82750738,1.22073964
634,9.16245174,8.83085682,1.21952356
635,8.91520023,8.83170026,1.20132593
636,11.04034042,8.85378666,1.19804185
637,10.29831600,8.86823195,1.21998410
638,10.74203014,8.88696994,1.22353695
639,11.88785744,8.91697881,1.22260135
640,11.77019024,8.94551092,1.22986575
641,10.90085316,8.96506435,1.23496262
642,11.16757011,8.98708940,1.19125215
643,9.77090168,8.99492753,1.19145964
644,10.00899315,9.00506818,1.18932314
645,11.18516731,9.02686917,1.20410046
646,11.72646046,9.05386509,1.18449976
647,9.46994591,9.05802590,1.17807891
648,11.47956181,9.08224126,1.16674482
649,11.85560894,9.10997493,1.17017689
650,10.47399902,9.12361517,1.17630470
651,11.70919514,9.14947097,1.18114734
652,10.61365128,9.16411278,1.18062524
653,10.89975357,9.18146918,1.18060189
654,11.23233509,9.20197784,1.19218337
655,9.30226040,9.20298067,1.19837154
656,11.54891682,9.22644003,1.19620817
657,7.87979174,9.21297355,1.20004098
658,10.82083607,9.22905217,1.19233761
659,10.90910053,9.24585266,1.21176832
660,10.25991154,9.25599324,1.21163214
661,9.06014347,9.25403475,1.22908754
662,10.93628597,9.27085726,1.22550858
663,10.00134373,9.27816212,1.22614237
664,10.22136116,9.28759411,1.22538792
665,10.26313591,9.29734953,1.22196878
666,10.63000107,9.31067605,1.23388523
667,9.74898148,9.31505910,1.23188042
668,11.84989643,9.34040747,1.21437790
669,12.38178062,9.37082121,1.22615656
