method,seed,done_total,drop_done,no_drop_done,no_drop_rate
ppo,10,2000,1989,11,0.0055
ppo_gru,10,2000,1992,8,0.004
ppo_rnn,10,2000,1975,25,0.0125
mpc,10,2000,1003,997,0.4985
