dist,speed,max_hold_steps
4.6273,0.0000,0
3.7238,0.0000,0
5.4848,0.0000,0
4.2162,0.0000,0
3.5202,0.0000,0
5.1769,0.0000,0
2.7244,0.0000,0
5.0383,0.0000,0
2.4931,0.0000,0
3.9149,0.0000,0
6.6906,0.0000,0
5.7049,0.0000,0
3.5271,0.0000,0
0.7966,0.0000,0
4.4838,0.0000,0
4.1594,0.0000,0
3.7814,0.0000,0
1.8511,0.0000,0
4.4421,0.0000,0
5.2236,0.0000,0
3.3397,0.0000,0
2.7419,0.0000,0
6.0698,0.0000,0
4.7693,0.0000,0
5.4631,0.0000,0
5.4104,0.0000,0
4.3810,0.0000,0
4.2405,0.0000,0
3.3777,0.0000,0
6.5485,0.0000,0
2.6527,0.0000,0
5.3405,0.0000,0
6.4876,0.0000,0
3.1537,0.0000,0
4.7611,0.0000,0
8.8241,0.0000,0
7.1609,0.0000,0
4.3992,0.0000,0
3.8136,0.0000,0
4.0565,0.0000,0
6.9763,0.0000,0
5.6864,0.0000,0
5.5161,0.0000,0
6.5357,0.0000,0
6.2075,0.0000,0
5.5535,0.0000,0
7.1245,0.0000,0
7.2964,0.0000,0
4.8355,0.0000,0
6.7905,0.0000,0
6.3294,0.0000,0
4.4446,0.0000,0
1.7389,0.0000,0
7.9747,0.0000,0
6.3020,0.0000,0
5.1447,0.0000,0
4.3758,0.0000,0
5.1976,0.0000,0
6.4729,0.0000,0
3.9951,0.0000,0
7.4517,0.0000,0
5.1021,0.0000,0
4.9811,0.0000,0
5.7790,0.0000,0
7.0133,0.0000,0
4.6111,0.0000,0
3.8751,0.0000,0
4.9936,0.0000,0
2.8876,0.0000,0
3.9751,0.0000,0
4.7923,0.0000,0
6.4391,0.0000,0
3.7699,0.0000,0
2.1551,0.0000,0
2.7832,0.0000,0
5.0252,0.0000,0
5.1067,0.0000,0
5.5568,0.0000,0
6.2340,0.0000,0
2.8077,0.0000,0
5.7035,0.0000,0
4.7336,0.0000,0
5.9628,0.0000,0
3.9458,0.0000,0
4.6595,0.0000,0
5.7841,0.0000,0
5.0267,0.0000,0
5.0671,0.0000,0
5.1865,0.0000,0
4.2492,0.0000,0
5.7630,0.0000,0
5.0362,0.0000,0
5.7100,0.0000,0
6.6013,0.0000,0
7.4308,0.0000,0
2.9424,0.0000,0
5.2225,0.0000,0
5.0939,0.0000,0
2.3282,0.0000,0
5.7720,0.0000,0
5.7756,0.0000,0
3.1770,0.0000,0
7.0785,0.0000,0
6.7677,0.0000,0
5.2037,0.0000,0
5.3551,0.0000,0
7.4353,0.0000,0
1.6162,0.0000,0
3.8983,0.0000,0
